"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUARAZ (000)",39829,273,11767,14144,5998,2267,916,262,32,,4170
"Sin Nivel (001)",8424,94,2842,3032,973,414,217,102,14,,736
"Educación Inicial (002)",58,1,20,18,7,1,,,,,11
"Primaria (003)",10721,93,4161,3826,1168,416,183,66,10,,798
"Secundaria (004)",8518,50,3036,3208,965,269,129,28,3,,830
"Sup. no Univ. Incompleta (005)",1744,7,374,731,236,93,31,7,,,265
"Sup. no Univ. Completa (006)",4676,11,654,1655,1216,439,156,21,1,,523
"Sup. Univ. Incompleta (007)",1575,5,270,523,270,91,38,8,,,370
"Sup. Univ. Completa (008)",4113,12,410,1151,1163,544,162,30,4,,637
,,,,,,,,,,,
"URBANA (010)",29594,183,7943,10457,4873,1936,762,204,24,,3212
"Sin Nivel (011)",3904,48,1297,1354,445,217,122,59,6,,356
"Educación Inicial (012)",47,1,18,13,5,,,,,,10
"Primaria (013)",6693,63,2489,2399,756,321,144,54,10,,457
"Secundaria (014)",7147,36,2482,2732,843,244,117,25,3,,665
"Sup. no Univ. Incompleta (015)",1661,7,359,694,228,91,30,7,,,245
"Sup. no Univ. Completa (016)",4565,11,637,1618,1189,431,150,21,1,,507
"Sup. Univ. Incompleta (017)",1538,5,264,513,265,90,38,8,,,355
"Sup. Univ. Completa (018)",4039,12,397,1134,1142,542,161,30,4,,617
,,,,,,,,,,,
"RURAL (020)",10235,90,3824,3687,1125,331,154,58,8,,958
"Sin Nivel (021)",4520,46,1545,1678,528,197,95,43,8,,380
"Educación Inicial (022)",11,,2,5,2,1,,,,,1
"Primaria (023)",4028,30,1672,1427,412,95,39,12,,,341
"Secundaria (024)",1371,14,554,476,122,25,12,3,,,165
"Sup. no Univ. Incompleta (025)",83,,15,37,8,2,1,,,,20
"Sup. no Univ. Completa (026)",111,,17,37,27,8,6,,,,16
"Sup. Univ. Incompleta (027)",37,,6,10,5,1,,,,,15
"Sup. Univ. Completa (028)",74,,13,17,21,2,1,,,,20
