"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CASMA (000)",15974,11165,1651,1513,1645
"Hombres (001)",11439,8288,1212,967,972
"Mujeres (002)",4535,2877,439,546,673
"De 06 a 14 años (003)",135,105,17,10,3
"Hombres (004)",89,72,11,4,2
"Mujeres (005)",46,33,6,6,1
"De 15 a 29 años (006)",5216,3458,626,553,579
"Hombres (007)",3810,2663,455,367,325
"Mujeres (008)",1406,795,171,186,254
"De 30 a 44 años (009)",5764,3814,607,640,703
"Hombres (010)",3922,2696,438,385,403
"Mujeres (011)",1842,1118,169,255,300
"De 45 a 64 años (012)",3915,2941,355,283,336
"Hombres (013)",2819,2138,270,189,222
"Mujeres (014)",1096,803,85,94,114
"De 65 y más años (015)",944,847,46,27,24
"Hombres (016)",799,719,38,22,20
"Mujeres (017)",145,128,8,5,4
,,,,,
"URBANA (018)",11527,7687,1205,1189,1446
"Hombres (019)",7608,5197,848,748,815
"Mujeres (020)",3919,2490,357,441,631
"De 06 a 14 años (021)",91,68,13,7,3
"Hombres (022)",57,43,8,4,2
"Mujeres (023)",34,25,5,3,1
"De 15 a 29 años (024)",3682,2340,455,405,482
"Hombres (025)",2476,1653,300,269,254
"Mujeres (026)",1206,687,155,136,228
"De 30 a 44 años (027)",4344,2756,441,519,628
"Hombres (028)",2740,1781,313,303,343
"Mujeres (029)",1604,975,128,216,285
"De 45 a 64 años (030)",2866,2059,262,234,311
"Hombres (031)",1908,1361,197,152,198
"Mujeres (032)",958,698,65,82,113
"De 65 y más años (033)",544,464,34,24,22
"Hombres (034)",427,359,30,20,18
"Mujeres (035)",117,105,4,4,4
,,,,,
"RURAL (036)",4447,3478,446,324,199
"Hombres (037)",3831,3091,364,219,157
"Mujeres (038)",616,387,82,105,42
"De 06 a 14 años (039)",44,37,4,3,
"Hombres (040)",32,29,3,,
"Mujeres (041)",12,8,1,3,
"De 15 a 29 años (042)",1534,1118,171,148,97
"Hombres (043)",1334,1010,155,98,71
"Mujeres (044)",200,108,16,50,26
"De 30 a 44 años (045)",1420,1058,166,121,75
"Hombres (046)",1182,915,125,82,60
"Mujeres (047)",238,143,41,39,15
"De 45 a 64 años (048)",1049,882,93,49,25
"Hombres (049)",911,777,73,37,24
"Mujeres (050)",138,105,20,12,1
"De 65 y más años (051)",400,383,12,3,2
"Hombres (052)",372,360,8,2,2
"Mujeres (053)",28,23,4,1,
