"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia JORGE BASADRE (000)",9239,130,1994,2341,2453,1850,471
"Jefe o Jefa (001)",3302,,7,555,1242,1198,300
"Esposa(o) / compañera(o) (002)",1594,,3,412,694,389,96
"Hijo(a) / hijastro(a) (003)",2734,108,1767,696,136,26,1
"Yerno / nuera (004)",66,,1,47,14,4,
"Nieto(a) (005)",163,11,115,35,2,,
"Padres / suegros (006)",101,,,,2,45,54
"Otro(a) pariente (007)",515,10,74,257,104,56,14
"Trabajador(a) del hogar (008)",53,,1,31,18,3,
"Pensionistas (009)",28,,,14,9,5,
"Otro(a) no pariente (010)",683,1,26,294,232,124,6
"Hombres (011)",5334,65,1014,1297,1484,1209,265
"Jefe o Jefa (012)",2716,,2,450,1044,991,229
"Esposa(o) / compañera(o) (013)",85,,2,22,37,19,5
"Hijo(a) / hijastro(a) (014)",1452,56,894,393,89,19,1
"Yerno / nuera (015)",31,,,20,9,2,
"Nieto(a) (016)",89,4,62,22,1,,
"Padres / suegros (017)",43,,,,2,23,18
"Otro(a) pariente (018)",328,5,34,159,84,39,7
"Trabajador(a) del hogar (019)",6,,,3,3,,
"Pensionistas (020)",22,,,10,8,4,
"Otro(a) no pariente (021)",562,,20,218,207,112,5
"Mujeres (022)",3905,65,980,1044,969,641,206
"Jefe o Jefa (023)",586,,5,105,198,207,71
"Esposa(o) / compañera(o) (024)",1509,,1,390,657,370,91
"Hijo(a) / hijastro(a) (025)",1282,52,873,303,47,7,
"Yerno / nuera (026)",35,,1,27,5,2,
"Nieto(a) (027)",74,7,53,13,1,,
"Padres / suegros (028)",58,,,,,22,36
"Otro(a) pariente (029)",187,5,40,98,20,17,7
"Trabajador(a) del hogar (030)",47,,1,28,15,3,
"Pensionistas (031)",6,,,4,1,1,
"Otro(a) no pariente (032)",121,1,6,76,25,12,1
,,,,,,,
"URBANA (033)",5631,88,1182,1434,1583,1161,183
"Jefe o Jefa (034)",1998,,7,336,793,746,116
"Esposa(o) / compañera(o) (035)",941,,2,239,443,226,31
"Hijo(a) / hijastro(a) (036)",1594,74,1067,384,58,10,1
"Yerno / nuera (037)",31,,1,24,6,,
"Nieto(a) (038)",69,5,43,20,1,,
"Padres / suegros (039)",63,,,,2,35,26
"Otro(a) pariente (040)",327,8,44,168,65,35,7
"Trabajador(a) del hogar (041)",49,,1,27,18,3,
"Pensionistas (042)",15,,,7,4,4,
"Otro(a) no pariente (043)",544,1,17,229,193,102,2
"Hombres (044)",3311,44,605,788,980,792,102
"Jefe o Jefa (045)",1680,,2,276,683,633,86
"Esposa(o) / compañera(o) (046)",48,,1,11,20,13,3
"Hijo(a) / hijastro(a) (047)",835,38,542,206,41,7,1
"Yerno / nuera (048)",11,,,7,4,,
"Nieto(a) (049)",41,2,26,13,,,
"Padres / suegros (050)",26,,,,2,18,6
"Otro(a) pariente (051)",212,4,22,102,54,26,4
"Trabajador(a) del hogar (052)",3,,,,3,,
"Pensionistas (053)",10,,,4,3,3,
"Otro(a) no pariente (054)",445,,12,169,170,92,2
"Mujeres (055)",2320,44,577,646,603,369,81
"Jefe o Jefa (056)",318,,5,60,110,113,30
"Esposa(o) / compañera(o) (057)",893,,1,228,423,213,28
"Hijo(a) / hijastro(a) (058)",759,36,525,178,17,3,
"Yerno / nuera (059)",20,,1,17,2,,
"Nieto(a) (060)",28,3,17,7,1,,
"Padres / suegros (061)",37,,,,,17,20
"Otro(a) pariente (062)",115,4,22,66,11,9,3
"Trabajador(a) del hogar (063)",46,,1,27,15,3,
"Pensionistas (064)",5,,,3,1,1,
"Otro(a) no pariente (065)",99,1,5,60,23,10,
,,,,,,,
"RURAL (066)",3608,42,812,907,870,689,288
"Jefe o Jefa (067)",1304,,,219,449,452,184
"Esposa(o) / compañera(o) (068)",653,,1,173,251,163,65
"Hijo(a) / hijastro(a) (069)",1140,34,700,312,78,16,
"Yerno / nuera (070)",35,,,23,8,4,
"Nieto(a) (071)",94,6,72,15,1,,
"Padres / suegros (072)",38,,,,,10,28
"Otro(a) pariente (073)",188,2,30,89,39,21,7
"Trabajador(a) del hogar (074)",4,,,4,,,
"Pensionistas (075)",13,,,7,5,1,
"Otro(a) no pariente (076)",139,,9,65,39,22,4
"Hombres (077)",2023,21,409,509,504,417,163
"Jefe o Jefa (078)",1036,,,174,361,358,143
"Esposa(o) / compañera(o) (079)",37,,1,11,17,6,2
"Hijo(a) / hijastro(a) (080)",617,18,352,187,48,12,
"Yerno / nuera (081)",20,,,13,5,2,
"Nieto(a) (082)",48,2,36,9,1,,
"Padres / suegros (083)",17,,,,,5,12
"Otro(a) pariente (084)",116,1,12,57,30,13,3
"Trabajador(a) del hogar (085)",3,,,3,,,
"Pensionistas (086)",12,,,6,5,1,
"Otro(a) no pariente (087)",117,,8,49,37,20,3
"Mujeres (088)",1585,21,403,398,366,272,125
"Jefe o Jefa (089)",268,,,45,88,94,41
"Esposa(o) / compañera(o) (090)",616,,,162,234,157,63
"Hijo(a) / hijastro(a) (091)",523,16,348,125,30,4,
"Yerno / nuera (092)",15,,,10,3,2,
"Nieto(a) (093)",46,4,36,6,,,
"Padres / suegros (094)",21,,,,,5,16
"Otro(a) pariente (095)",72,1,18,32,9,8,4
"Trabajador(a) del hogar (096)",1,,,1,,,
"Pensionistas (097)",1,,,1,,,
"Otro(a) no pariente (098)",22,,1,16,2,2,1
