"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia OTUZCO (000)",880,55,425,234,123,43
"Sin nivel (001)",74,7,19,20,16,12
"Educación inicial (002)",4,1,3,,,
"Primaria (003)",489,43,184,137,95,30
"Secundaria (004)",161,4,115,35,7,
"Superior no univ. incompleta (005)",29,,22,6,1,
"Superior no univ. completa (006)",105,,74,29,1,1
"Superior univ. incompleta (007)",4,,3,1,,
"Superior univ. completa (008)",14,,5,6,3,
"Hombres (010)",700,39,317,202,105,37
"Sin nivel (011)",54,7,11,15,12,9
"Educación inicial (012)",4,1,3,,,
"Primaria (013)",411,28,148,126,82,27
"Secundaria (014)",129,3,89,31,6,
"Superior no univ. incompleta (015)",19,,13,5,1,
"Superior no univ. completa (016)",71,,49,20,1,1
"Superior univ. incompleta (017)",2,,1,1,,
"Superior univ. completa (018)",10,,3,4,3,
"Mujeres (020)",180,16,108,32,18,6
"Sin nivel (021)",20,,8,5,4,3
"Primaria (023)",78,15,36,11,13,3
"Secundaria (024)",32,1,26,4,1,
"Superior no univ. incompleta (025)",10,,9,1,,
"Superior no univ. completa (026)",34,,25,9,,
"Superior univ. incompleta (027)",2,,2,,,
"Superior univ. completa (028)",4,,2,2,,
,,,,,,
"Area Urbana (030)",376,7,199,95,52,23
"Sin nivel (031)",15,2,5,1,3,4
"Educación inicial (032)",3,1,2,,,
"Primaria (033)",130,4,28,41,39,18
"Secundaria (034)",96,,71,20,5,
"Superior no univ. incompleta (035)",25,,19,5,1,
"Superior no univ. completa (036)",93,,69,22,1,1
"Superior univ. incompleta (037)",3,,2,1,,
"Superior univ. completa (038)",11,,3,5,3,
"Hombres (040)",283,7,141,75,41,19
"Sin nivel (041)",6,2,1,,1,2
"Educación inicial (042)",3,1,2,,,
"Primaria (043)",108,4,22,35,31,16
"Secundaria (044)",78,,56,18,4,
"Superior no univ. incompleta (045)",17,,12,4,1,
"Superior no univ. completa (046)",62,,46,14,1,1
"Superior univ. incompleta (047)",2,,1,1,,
"Superior univ. completa (048)",7,,1,3,3,
"Mujeres (050)",93,,58,20,11,4
"Sin nivel (051)",9,,4,1,2,2
"Primaria (053)",22,,6,6,8,2
"Secundaria (054)",18,,15,2,1,
"Superior no univ. incompleta (055)",8,,7,1,,
"Superior no univ. completa (056)",31,,23,8,,
"Superior univ. incompleta (057)",1,,1,,,
"Superior univ. completa (058)",4,,2,2,,
,,,,,,
"Area Rural (060)",504,48,226,139,71,20
"Sin nivel (061)",59,5,14,19,13,8
"Educación inicial (062)",1,,1,,,
"Primaria (063)",359,39,156,96,56,12
"Secundaria (064)",65,4,44,15,2,
"Superior no univ. incompleta (065)",4,,3,1,,
"Superior no univ. completa (066)",12,,5,7,,
"Superior univ. incompleta (067)",1,,1,,,
"Superior univ. completa (068)",3,,2,1,,
"Hombres (070)",417,32,176,127,64,18
"Sin nivel (071)",48,5,10,15,11,7
"Educación inicial (072)",1,,1,,,
"Primaria (073)",303,24,126,91,51,11
"Secundaria (074)",51,3,33,13,2,
"Superior no univ. incompleta (075)",2,,1,1,,
"Superior no univ. completa (076)",9,,3,6,,
"Superior univ. completa (078)",3,,2,1,,
"Mujeres (080)",87,16,50,12,7,2
"Sin nivel (081)",11,,4,4,2,1
"Primaria (083)",56,15,30,5,5,1
"Secundaria (084)",14,1,11,2,,
"Superior no univ. incompleta (085)",2,,2,,,
"Superior no univ. completa (086)",3,,2,1,,
"Superior univ. incompleta (087)",1,,1,,,
