"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARI (000)",15743,9704,1886,1887,2266
"Agric., ganadería, caza y silvicultura (001)",6561,5976,426,137,22
"Pesca (002)",4,2,1,,1
"Explotación de minas y canteras (003)",1066,67,64,382,553
"Industrias manufactureras (004)",377,224,52,31,70
"Suministro de electricidad, gas y agua (005)",81,6,26,49,
"Construcción (006)",1798,448,492,511,347
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1080,899,58,65,58
"Venta, mant.y rep. veh.autom y motoc. (008)",174,48,23,47,56
"Comercio al por mayor (009)",43,35,5,1,2
"Comercio al por menor (010)",863,816,30,17,
"Hoteles y restaurantes (011)",426,321,38,6,61
"Trans., almac. y comunicaciones (012)",336,208,29,55,44
"Intermediación financiera (013)",7,3,,3,1
"Activid.inmobil., empres. y alquileres (014)",556,124,56,128,248
"Admin.pub. y defensa; p. segur soc.afil (015)",657,,,,657
"Enseñanza (016)",1259,376,478,386,19
"Servicios sociales y de salud (017)",234,52,20,18,144
"Otras activ. serv.comun.soc y personales (018)",443,231,91,91,30
"Hogares privados con servicio doméstico (019)",223,223,,,
"Actividad economica no especificada (021)",635,544,55,25,11
"Hombres (022)",12904,7731,1556,1641,1976
"Agric., ganadería, caza y silvicultura (023)",6115,5569,397,127,22
"Pesca (024)",4,2,1,,1
"Explotación de minas y canteras (025)",1029,63,59,370,537
"Industrias manufactureras (026)",338,193,47,29,69
"Suministro de electricidad, gas y agua (027)",79,6,25,48,
"Construcción (028)",1727,433,478,483,333
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",657,492,48,60,57
"Venta, mant.y rep. veh.autom y motoc. (030)",170,46,23,45,56
"Comercio al por mayor (031)",24,18,4,1,1
"Comercio al por menor (032)",463,428,21,14,
"Hoteles y restaurantes (033)",163,94,18,4,47
"Trans., almac. y comunicaciones (034)",308,189,25,53,41
"Intermediación financiera (035)",5,2,,2,1
"Activid.inmobil., empres. y alquileres (036)",497,101,46,118,232
"Admin.pub. y defensa; p. segur soc.afil (037)",538,,,,538
"Enseñanza (038)",749,191,301,245,12
"Servicios sociales y de salud (039)",93,23,9,4,57
"Otras activ. serv.comun.soc y personales (040)",329,155,70,80,24
"Hogares privados con servicio doméstico (041)",17,17,,,
