"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LA MAR (000)",83157,1816,32477,20145,14672,9788,4259
"Casa independiente (001)",73707,1598,28897,17916,13079,8577,3640
"Departamento en edificio (002)",116,3,27,47,27,11,1
"Vivienda en quinta (003)",580,15,199,169,133,48,16
"Vivienda en casa de vecindad (004)",399,5,141,112,76,60,5
"Choza o cabaña (005)",7991,185,3084,1807,1282,1051,582
"Vivienda improvisada (006)",182,4,78,45,31,21,3
"Local no destinado para hab.humana (007)",140,6,39,37,36,13,9
"Otro tipo (008)",42,,12,12,8,7,3
,,,,,,,
"URBANA (009)",33800,664,12569,8924,6433,3870,1340
"Casa independiente (010)",32371,633,12082,8506,6134,3710,1306
"Departamento en edificio (011)",116,3,27,47,27,11,1
"Vivienda en quinta (012)",580,15,199,169,133,48,16
"Vivienda en casa de vecindad (013)",399,5,141,112,76,60,5
"Vivienda improvisada (015)",182,4,78,45,31,21,3
"Local no destinado para hab.humana (016)",117,4,33,35,26,13,6
"Otro tipo (017)",35,,9,10,6,7,3
,,,,,,,
"RURAL (018)",49357,1152,19908,11221,8239,5918,2919
"Casa independiente (019)",41336,965,16815,9410,6945,4867,2334
"Choza o cabaña (023)",7991,185,3084,1807,1282,1051,582
"Local no destinado para hab.humana (025)",23,2,6,2,10,,3
"Otro tipo (026)",7,,3,2,2,,
