"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia JORGE BASADRE (000)",5571,32,1679,2025,1560,275
"Empleado (001)",1527,1,512,646,346,22
"Obrero (002)",2371,5,790,856,665,55
"Trabajador independiente (003)",984,3,167,321,362,131
"Empleador o patrono (004)",178,,15,51,78,34
"Trabajador familiar no remunerado (005)",426,21,145,127,100,33
"Trabajador del hogar (006)",85,2,50,24,9,
"Hombres (008)",4053,16,1163,1490,1177,207
"Empleado (009)",1095,1,333,466,274,21
"Obrero (010)",2070,4,647,773,594,52
"Trabajador independiente (011)",593,1,96,175,222,99
"Empleador o patrono (012)",128,,7,36,59,26
"Trabajador familiar no remunerado (013)",159,9,77,36,28,9
"Trabajador del hogar (014)",8,1,3,4,,
"Mujeres (016)",1518,16,516,535,383,68
"Empleado (017)",432,,179,180,72,1
"Obrero (018)",301,1,143,83,71,3
"Trabajador independiente (019)",391,2,71,146,140,32
"Empleador o patrono (020)",50,,8,15,19,8
"Trabajador familiar no remunerado (021)",267,12,68,91,72,24
"Trabajador del hogar (022)",77,1,47,20,9,
,,,,,,
"URBANA (024)",3363,7,1029,1272,961,94
"Empleado (025)",1264,,422,527,301,14
"Obrero (026)",1488,2,437,539,471,39
"Trabajador independiente (027)",384,2,75,137,136,34
"Empleador o patrono (028)",37,,5,12,17,3
"Trabajador familiar no remunerado (029)",113,1,46,35,27,4
"Trabajador del hogar (030)",77,2,44,22,9,
"Hombres (032)",2552,5,720,975,773,79
"Empleado (033)",936,,290,392,240,14
"Obrero (034)",1358,2,372,500,446,38
"Trabajador independiente (035)",190,1,34,64,66,25
"Empleador o patrono (036)",25,,2,10,11,2
"Trabajador familiar no remunerado (037)",39,1,22,6,10,
"Trabajador del hogar (038)",4,1,,3,,
"Mujeres (040)",811,2,309,297,188,15
"Empleado (041)",328,,132,135,61,
"Obrero (042)",130,,65,39,25,1
"Trabajador independiente (043)",194,1,41,73,70,9
"Empleador o patrono (044)",12,,3,2,6,1
"Trabajador familiar no remunerado (045)",74,,24,29,17,4
"Trabajador del hogar (046)",73,1,44,19,9,
,,,,,,
"RURAL (048)",2208,25,650,753,599,181
"Empleado (049)",263,1,90,119,45,8
"Obrero (050)",883,3,353,317,194,16
"Trabajador independiente (051)",600,1,92,184,226,97
"Empleador o patrono (052)",141,,10,39,61,31
"Trabajador familiar no remunerado (053)",313,20,99,92,73,29
"Trabajador del hogar (054)",8,,6,2,,
"Hombres (056)",1501,11,443,515,404,128
"Empleado (057)",159,1,43,74,34,7
"Obrero (058)",712,2,275,273,148,14
"Trabajador independiente (059)",403,,62,111,156,74
"Empleador o patrono (060)",103,,5,26,48,24
"Trabajador familiar no remunerado (061)",120,8,55,30,18,9
"Trabajador del hogar (062)",4,,3,1,,
"Mujeres (064)",707,14,207,238,195,53
"Empleado (065)",104,,47,45,11,1
"Obrero (066)",171,1,78,44,46,2
"Trabajador independiente (067)",197,1,30,73,70,23
"Empleador o patrono (068)",38,,5,13,13,7
"Trabajador familiar no remunerado (069)",193,12,44,62,55,20
"Trabajador del hogar (070)",4,,3,1,,
