"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUALGAYOC (000)",23760,256,9125,8468,2384,776,322,98,14,,2317
"Conviviente (001)",11735,130,4886,4187,1127,305,138,43,9,,910
"Separado(a) (002)",1834,24,717,656,230,76,38,9,1,,83
"Casado(a) (003)",6585,63,2572,2561,697,239,85,27,2,,339
"Viudo(a) (004)",2073,28,733,789,225,110,45,14,,,129
"Divorciado(a) (005)",124,1,45,45,15,6,,,,,12
"Soltero(a) (006)",1409,10,172,230,90,40,16,5,2,,844
,,,,,,,,,,,
"URBANA (008)",5347,58,1864,1783,625,220,105,31,4,,657
"Conviviente (009)",2135,22,812,724,253,66,39,11,1,,207
"Separado(a) (010)",386,9,152,136,43,16,9,3,,,18
"Casado(a) (011)",1970,20,690,721,263,103,38,12,2,,121
"Viudo(a) (012)",352,4,136,117,34,22,12,4,,,23
"Divorciado(a) (013)",39,,15,12,4,2,,,,,6
"Soltero(a) (014)",465,3,59,73,28,11,7,1,1,,282
,,,,,,,,,,,
"RURAL (016)",18413,198,7261,6685,1759,556,217,67,10,,1660
"Conviviente (017)",9600,108,4074,3463,874,239,99,32,8,,703
"Separado(a) (018)",1448,15,565,520,187,60,29,6,1,,65
"Casado(a) (019)",4615,43,1882,1840,434,136,47,15,,,218
"Viudo(a) (020)",1721,24,597,672,191,88,33,10,,,106
"Divorciado(a) (021)",85,1,30,33,11,4,,,,,6
"Soltero(a) (022)",944,7,113,157,62,29,9,4,1,,562
