"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PARURO (000)",28815,6737,837,14600,5754,256,288,113,230
"Jefe o Jefa (001)",8397,2005,7,4230,1763,89,139,37,127
"Esposa(o)/ compa¤era(o) (002)",5687,2111,9,2783,653,28,54,13,36
"Hijo(a)/ hijastro(a) (003)",12222,1879,724,6541,2843,112,48,39,36
"Yerno/ nuera (004)",211,12,,78,99,5,9,5,3
"Nieto(a) (005)",538,159,48,257,69,2,1,2,
"Padres/ suegros (006)",334,269,,55,7,,3,,
"Otro(a) pariente (007)",1111,240,43,556,236,9,7,9,11
"Trabajador(a) del hogar (008)",43,9,,17,16,,,1,
"Pensionista (009)",6,,,2,2,1,,,1
"Otro(a) no pariente (010)",266,53,6,81,66,10,27,7,16
"Hombres (012)",14629,2186,447,7781,3696,146,160,70,143
"Jefe o Jefa (013)",6462,934,6,3651,1568,66,105,31,101
"Esposa(o)/ compa¤era(o) (014)",297,39,,145,93,3,9,3,5
"Hijo(a)/ hijastro(a) (015)",6633,968,388,3447,1713,57,23,21,16
"Yerno/ nuera (016)",104,2,,30,59,4,5,2,2
"Nieto(a) (017)",292,80,30,131,47,2,1,1,
"Padres/ suegros (018)",95,54,,36,5,,,,
"Otro(a) pariente (019)",570,77,21,287,159,5,4,8,9
"Trabajador(a) del hogar (020)",16,1,,8,6,,,1,
"Pensionista (021)",4,,,1,2,1,,,
"Otro(a) no pariente (022)",156,31,2,45,44,8,13,3,10
"Mujeres (024)",14186,4551,390,6819,2058,110,128,43,87
"Jefe o Jefa (025)",1935,1071,1,579,195,23,34,6,26
"Esposa(o)/ compa¤era(o) (026)",5390,2072,9,2638,560,25,45,10,31
"Hijo(a)/ hijastro(a) (027)",5589,911,336,3094,1130,55,25,18,20
"Yerno/ nuera (028)",107,10,,48,40,1,4,3,1
"Nieto(a) (029)",246,79,18,126,22,,,1,
"Padres/ suegros (030)",239,215,,19,2,,3,,
"Otro(a) pariente (031)",541,163,22,269,77,4,3,1,2
"Trabajador(a) del hogar (032)",27,8,,9,10,,,,
"Pensionista (033)",2,,,1,,,,,1
"Otro(a) no pariente (034)",110,22,4,36,22,2,14,4,6
,,,,,,,,,
"URBANA (036)",9890,1907,266,4565,2490,176,230,87,169
"Jefe o Jefa (037)",3057,579,3,1378,798,65,109,32,93
"Esposa(o)/ compa¤era(o) (038)",1883,554,4,891,329,20,49,9,27
"Hijo(a)/ hijastro(a) (039)",3875,503,217,1900,1093,72,37,28,25
"Yerno/ nuera (040)",82,5,,24,35,3,7,5,3
"Nieto(a) (041)",229,72,20,95,38,1,1,2,
"Padres/ suegros (042)",121,83,,29,6,,3,,
"Otro(a) pariente (043)",420,80,18,176,127,6,4,3,6
"Trabajador(a) del hogar (044)",36,7,,15,13,,,1,
"Pensionista (045)",2,,,,1,,,,1
"Otro(a) no pariente (046)",185,24,4,57,50,9,20,7,14
"Hombres (048)",4964,543,156,2385,1500,97,131,53,99
