"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia OXAPAMPA (000)",19105,9799,9306
"Red pública dentro de la vivienda (001)",2174,2051,123
"Red pública fuera de la vivienda (002)",1361,1227,134
"Pilón de uso público (003)",158,106,52
"Camión - cisterna u otro similar (004)",15,2,13
"Pozo (005)",1470,560,910
"Río, acequia, manatial o similar (006)",13620,5692,7928
"Vecino (007)",244,133,111
"Otro (008)",63,28,35
,,,
"URBANA (010)",7036,6285,751
"Red pública dentro de la vivienda (011)",1877,1790,87
"Red pública fuera de la vivienda (012)",915,835,80
"Pilón de uso público (013)",57,47,10
"Camión - cisterna u otro similar (014)",3,2,1
"Pozo (015)",561,387,174
"Río, acequia, manatial o similar (016)",3476,3135,341
"Vecino (017)",116,70,46
"Otro (018)",31,19,12
,,,
"RURAL (020)",12069,3514,8555
"Red pública dentro de la vivienda (021)",297,261,36
"Red pública fuera de la vivienda (022)",446,392,54
"Pilón de uso público (023)",101,59,42
"Camión - cisterna u otro similar (024)",12,,12
"Pozo (025)",909,173,736
"Río, acequia, manatial o similar (026)",10144,2557,7587
"Vecino (027)",128,63,65
"Otro (028)",32,9,23
