"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LORETO (000)",59590,1961,24593,15220,9527,6263,2026
"Casa independiente (001)",46133,1495,18896,12077,7437,4768,1460
"Departamento en edificio (002)",8,,3,2,2,1,
"Vivienda en quinta (003)",268,12,70,81,73,24,8
"Vivienda en casa de vecindad (004)",29,2,14,9,3,1,
"Choza o cabaña (005)",12997,445,5542,3024,1975,1456,555
"Vivienda improvisada (006)",101,6,42,20,24,8,1
"Local no destinado para hab.humana (007)",43,,22,5,9,5,2
"Otro tipo (008)",11,1,4,2,4,,
,,,,,,,
"URBANA (009)",24202,733,9090,6589,4120,2722,948
"Casa independiente (010)",23774,712,8952,6474,4014,2685,937
"Departamento en edificio (011)",8,,3,2,2,1,
"Vivienda en quinta (012)",268,12,70,81,73,24,8
"Vivienda en casa de vecindad (013)",29,2,14,9,3,1,
"Vivienda improvisada (015)",101,6,42,20,24,8,1
"Local no destinado para hab.humana (016)",14,,7,1,1,3,2
"Otro tipo (017)",8,1,2,2,3,,
,,,,,,,
"RURAL (018)",35388,1228,15503,8631,5407,3541,1078
"Casa independiente (019)",22359,783,9944,5603,3423,2083,523
"Choza o cabaña (023)",12997,445,5542,3024,1975,1456,555
"Local no destinado para hab.humana (025)",29,,15,4,8,2,
"Otro tipo (026)",3,,2,,1,,
