"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia POMABAMBA (000)",26007,1348,7484,4893,3261,3099,2160,1664,2098
"Quechua (001)",22061,1034,6045,4093,2739,2717,1915,1529,1989
"Aymara (002)",16,3,3,,,2,4,3,1
"Ashaninca (003)",1,,,,,,,,1
"Otra lengua nativa (004)",1,,,,,1,,,
"Castellano (005)",3875,310,1424,794,512,372,238,130,95
"Idioma extranjero (006)",2,,,,,2,,,
"Es sordomudo/a (007)",51,1,12,6,10,5,3,2,12
"Hombres (009)",12539,698,3748,2368,1555,1512,1025,758,875
"Quechua (010)",10556,537,3048,1982,1284,1314,895,684,812
"Aymara (011)",4,1,1,,,,1,1,
"Ashaninca (012)",1,,,,,,,,1
"Castellano (014)",1951,160,693,383,266,195,127,72,55
"Idioma extranjero (015)",1,,,,,1,,,
"Es sordomudo/a (016)",26,,6,3,5,2,2,1,7
"Mujeres (018)",13468,650,3736,2525,1706,1587,1135,906,1223
"Quechua (019)",11505,497,2997,2111,1455,1403,1020,845,1177
"Aymara (020)",12,2,2,,,2,3,2,1
"Otra lengua nativa (022)",1,,,,,1,,,
"Castellano (023)",1924,150,731,411,246,177,111,58,40
"Idioma extranjero (024)",1,,,,,1,,,
"Es sordomudo/a (025)",25,1,6,3,5,3,1,1,5
,,,,,,,,,
"URBANA (027)",5763,229,1342,1132,885,825,544,373,433
"Quechua (028)",3088,47,449,602,493,523,353,268,353
"Aymara (029)",6,,1,,,,4,1,
"Otra lengua nativa (031)",1,,,,,1,,,
"Castellano (032)",2657,182,891,527,392,298,187,104,76
"Idioma extranjero (033)",2,,,,,2,,,
"Es sordomudo/a (034)",9,,1,3,,1,,,4
"Hombres (036)",2799,123,653,549,435,409,262,180,188
"Quechua (037)",1470,31,232,292,233,257,161,120,144
"Aymara (038)",2,,,,,,1,1,
"Castellano (041)",1321,92,420,255,202,151,100,59,42
"Idioma extranjero (042)",1,,,,,1,,,
"Es sordomudo/a (043)",5,,1,2,,,,,2
"Mujeres (045)",2964,106,689,583,450,416,282,193,245
"Quechua (046)",1618,16,217,310,260,266,192,148,209
"Aymara (047)",4,,1,,,,3,,
"Otra lengua nativa (049)",1,,,,,1,,,
"Castellano (050)",1336,90,471,272,190,147,87,45,34
"Idioma extranjero (051)",1,,,,,1,,,
"Es sordomudo/a (052)",4,,,1,,1,,,2
,,,,,,,,,
"RURAL (054)",20244,1119,6142,3761,2376,2274,1616,1291,1665
"Quechua (055)",18973,987,5596,3491,2246,2194,1562,1261,1636
"Aymara (056)",10,3,2,,,2,,2,1
"Ashaninca (057)",1,,,,,,,,1
"Castellano (059)",1218,128,533,267,120,74,51,26,19
"Es sordomudo/a (061)",42,1,11,3,10,4,3,2,8
"Hombres (063)",9740,575,3095,1819,1120,1103,763,578,687
"Quechua (064)",9086,506,2816,1690,1051,1057,734,564,668
"Aymara (065)",2,1,1,,,,,,
"Ashaninca (066)",1,,,,,,,,1
"Castellano (068)",630,68,273,128,64,44,27,13,13
"Es sordomudo/a (070)",21,,5,1,5,2,2,1,5
"Mujeres (072)",10504,544,3047,1942,1256,1171,853,713,978
"Quechua (073)",9887,481,2780,1801,1195,1137,828,697,968
"Aymara (074)",8,2,1,,,2,,2,1
"Castellano (077)",588,60,260,139,56,30,24,13,6
"Es sordomudo/a (079)",21,1,6,2,5,2,1,1,3
