"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CANAS (000)",10007,3773,6234
"Red pública dentro de la vivienda (001)",1153,691,462
"Red pública fuera de la vivienda (002)",1835,1304,531
"Pilón de uso público (003)",331,176,155
"Camión - cisterna u otro similar (004)",3,2,1
"Pozo (005)",1270,390,880
"Río, acequia, manatial o similar (006)",5174,1130,4044
"Vecino (007)",214,65,149
"Otro (008)",27,15,12
,,,
"URBANA (010)",1751,1334,417
"Red pública dentro de la vivienda (011)",448,366,82
"Red pública fuera de la vivienda (012)",1017,806,211
"Pilón de uso público (013)",7,7,
"Camión - cisterna u otro similar (014)",2,2,
"Pozo (015)",150,113,37
"Río, acequia, manatial o similar (016)",38,7,31
"Vecino (017)",75,26,49
"Otro (018)",14,7,7
,,,
"RURAL (020)",8256,2439,5817
"Red pública dentro de la vivienda (021)",705,325,380
"Red pública fuera de la vivienda (022)",818,498,320
"Pilón de uso público (023)",324,169,155
"Camión - cisterna u otro similar (024)",1,,1
"Pozo (025)",1120,277,843
"Río, acequia, manatial o similar (026)",5136,1123,4013
"Vecino (027)",139,39,100
"Otro (028)",13,8,5
