"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PACASMAYO (000)",89195,3665,18159,16645,14251,12832,9903,6652,7088
"Quechua (001)",96,,10,18,14,11,21,11,11
"Aymara (002)",21,1,6,3,2,3,1,,5
"Ashaninca (003)",8,,2,2,2,,1,,1
"Otra lengua nativa (004)",66,3,7,19,10,7,7,5,8
"Castellano (005)",88903,3658,18119,16577,14208,12793,9866,6625,7057
"Idioma extranjero (006)",15,,1,2,2,2,2,4,2
"Es sordomudo/a (007)",86,3,14,24,13,16,5,7,4
"Hombres (009)",44038,1845,9108,8315,6821,6179,4824,3380,3566
"Quechua (010)",55,,4,11,10,5,12,6,7
"Aymara (011)",11,,2,2,1,1,1,,4
"Ashaninca (012)",7,,2,2,1,,1,,1
"Otra lengua nativa (013)",35,3,3,12,5,2,4,2,4
"Castellano (014)",43887,1842,9093,8275,6798,6162,4803,3367,3547
"Idioma extranjero (015)",9,,1,2,1,2,,2,1
"Es sordomudo/a (016)",34,,3,11,5,7,3,3,2
"Mujeres (018)",45157,1820,9051,8330,7430,6653,5079,3272,3522
"Quechua (019)",41,,6,7,4,6,9,5,4
"Aymara (020)",10,1,4,1,1,2,,,1
"Ashaninca (021)",1,,,,1,,,,
"Otra lengua nativa (022)",31,,4,7,5,5,3,3,4
"Castellano (023)",45016,1816,9026,8302,7410,6631,5063,3258,3510
"Idioma extranjero (024)",6,,,,1,,2,2,1
"Es sordomudo/a (025)",52,3,11,13,8,9,2,4,2
,,,,,,,,,
"URBANA (027)",82958,3398,16811,15409,13221,12082,9252,6159,6626
"Quechua (028)",90,,8,18,14,11,21,8,10
"Aymara (029)",21,1,6,3,2,3,1,,5
"Ashaninca (030)",8,,2,2,2,,1,,1
"Otra lengua nativa (031)",65,3,7,19,10,7,7,5,7
"Castellano (032)",82683,3391,16774,15345,13181,12044,9215,6136,6597
"Idioma extranjero (033)",15,,1,2,2,2,2,4,2
"Es sordomudo/a (034)",76,3,13,20,10,15,5,6,4
"Hombres (036)",40813,1708,8416,7673,6299,5802,4498,3103,3314
"Quechua (037)",50,,3,11,10,5,12,3,6
"Aymara (038)",11,,2,2,1,1,1,,4
"Ashaninca (039)",7,,2,2,1,,1,,1
"Otra lengua nativa (040)",35,3,3,12,5,2,4,2,4
"Castellano (041)",40672,1705,8402,7635,6277,5786,4477,3094,3296
"Idioma extranjero (042)",9,,1,2,1,2,,2,1
"Es sordomudo/a (043)",29,,3,9,4,6,3,2,2
"Mujeres (045)",42145,1690,8395,7736,6922,6280,4754,3056,3312
"Quechua (046)",40,,5,7,4,6,9,5,4
"Aymara (047)",10,1,4,1,1,2,,,1
"Ashaninca (048)",1,,,,1,,,,
"Otra lengua nativa (049)",30,,4,7,5,5,3,3,3
"Castellano (050)",42011,1686,8372,7710,6904,6258,4738,3042,3301
"Idioma extranjero (051)",6,,,,1,,2,2,1
"Es sordomudo/a (052)",47,3,10,11,6,9,2,4,2
,,,,,,,,,
"RURAL (054)",6237,267,1348,1236,1030,750,651,493,462
"Quechua (055)",6,,2,,,,,3,1
"Otra lengua nativa (058)",1,,,,,,,,1
"Castellano (059)",6220,267,1345,1232,1027,749,651,489,460
"Es sordomudo/a (061)",10,,1,4,3,1,,1,
"Hombres (063)",3225,137,692,642,522,377,326,277,252
"Quechua (064)",5,,1,,,,,3,1
"Castellano (068)",3215,137,691,640,521,376,326,273,251
"Es sordomudo/a (070)",5,,,2,1,1,,1,
"Mujeres (072)",3012,130,656,594,508,373,325,216,210
"Quechua (073)",1,,1,,,,,,
"Otra lengua nativa (076)",1,,,,,,,,1
"Castellano (077)",3005,130,654,592,506,373,325,216,209
"Es sordomudo/a (079)",5,,1,2,2,,,,
