"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ANTABAMBA (000)",10506,2731,2333,2105,1986,1351
"Sin nivel (001)",1621,53,90,247,526,705
"Educación inicial (002)",142,135,5,2,,
"Primaria (003)",4736,2090,534,743,869,500
"Secundaria (004)",3071,453,1428,718,367,105
"Superior no univ. incompleta (005)",222,,79,96,38,9
"Superior no univ. completa (006)",276,,81,115,69,11
"Superior univ. incompleta (007)",127,,48,51,25,3
"Superior univ. completa (008)",311,,68,133,92,18
"PEA (010)",4180,69,1053,1385,1144,529
"Sin nivel (011)",605,1,37,130,227,210
"Educación inicial (012)",5,1,2,2,,
"Primaria (013)",1479,45,256,434,491,253
"Secundaria (014)",1364,22,565,480,249,48
"Superior no univ. incompleta (015)",158,,49,75,32,2
"Superior no univ. completa (016)",225,,65,102,51,7
"Superior univ. incompleta (017)",80,,20,38,21,1
"Superior univ. completa (018)",264,,59,124,73,8
"Ocupada (020)",4079,69,1016,1346,1127,521
"Sin nivel (021)",599,1,36,128,224,210
"Educación inicial (022)",5,1,2,2,,
"Primaria (023)",1447,45,245,423,485,249
"Secundaria (024)",1315,22,547,457,245,44
"Superior no univ. incompleta (025)",156,,49,75,30,2
"Superior no univ. completa (026)",220,,61,101,51,7
"Superior univ. incompleta (027)",78,,19,38,20,1
"Superior univ. completa (028)",259,,57,122,72,8
"Desocupada (030)",101,,37,39,17,8
"Sin nivel (031)",6,,1,2,3,
"Primaria (033)",32,,11,11,6,4
