"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia CHURCAMPA",,,
"Viviendas particulares (001)",2650,2398,252
"Ocupantes presentes (002)",10440,9428,1012
"Casa independiente",,,
"Viviendas particulares (004)",2464,2217,247
"Ocupantes presentes (005)",9924,8925,999
"Departamento en edificio",,,
"Viviendas particulares (007)",5,5,
"Ocupantes presentes (008)",17,17,
"Vivienda en quinta",,,
"Viviendas particulares (010)",14,14,
"Ocupantes presentes (011)",51,51,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",156,154,2
"Ocupantes presentes (014)",405,401,4
"Choza o cabaña",,,
"Viviendas particulares (016)",6,5,1
"Ocupantes presentes (017)",32,28,4
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",3,3,
"Ocupantes presentes (023)",6,6,
"Otro tipo",,,
"Viviendas particulares (025)",2,,2
"Ocupantes presentes (026)",5,,5
,,,
URBANA,,,
"Viviendas particulares (028)",1274,1222,52
"Ocupantes presentes (029)",4573,4350,223
"Casa independiente",,,
"Viviendas particulares (031)",1096,1046,50
"Ocupantes presentes (032)",4094,3875,219
"Departamento en edificio",,,
"Viviendas particulares (034)",5,5,
"Ocupantes presentes (035)",17,17,
"Vivienda en quinta",,,
"Viviendas particulares (037)",14,14,
"Ocupantes presentes (038)",51,51,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",156,154,2
"Ocupantes presentes (041)",405,401,4
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",3,3,
"Ocupantes presentes (050)",6,6,
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",1376,1176,200
"Ocupantes presentes (056)",5867,5078,789
"Casa independiente",,,
"Viviendas particulares (058)",1368,1171,197
"Ocupantes presentes (059)",5830,5050,780
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",6,5,1
"Ocupantes presentes (071)",32,28,4
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Otro tipo",,,
"Viviendas particulares (079)",2,,2
"Ocupantes presentes (080)",5,,5
