"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ZARUMILLA (000)",10677,27,120,368,890,2039,4244,2989
"De 12 a 14 años (001)",32,,,,,,4,28
"De 15 a 19 años (002)",475,,,,,,240,235
"De 20 a 24 años (003)",1596,,,,,3,924,669
"De 25 a 29 años (004)",1748,,,,,82,1092,574
"De 30 a 34 años (005)",1540,,,,,238,934,368
"De 35 a 39 años (006)",1316,,,,19,405,628,264
"De 40 a 44 años (007)",1109,,,,82,500,311,216
"De 45 a 49 años (008)",854,,,1,149,458,89,157
"De 50 y más años (009)",2007,27,120,367,640,353,22,478
"PEA (010)",3570,,15,91,299,792,1294,1079
"De 12 a 14 años (011)",3,,,,,,,3
"De 15 a 19 años (012)",85,,,,,,43,42
"De 20 a 24 años (013)",462,,,,,1,234,227
"De 25 a 29 años (014)",596,,,,,36,325,235
"De 30 a 34 años (015)",587,,,,,101,317,169
"De 35 a 39 años (016)",525,,,,7,159,234,125
"De 40 a 44 años (017)",423,,,,40,192,96,95
"De 45 a 49 años (018)",348,,,1,53,187,37,70
"De 50 y más años (019)",541,,15,90,199,116,8,113
"Ocupada (020)",3437,,15,89,298,777,1232,1026
"De 12 a 14 años (021)",3,,,,,,,3
"De 15 a 19 años (022)",77,,,,,,40,37
"De 20 a 24 años (023)",419,,,,,1,212,206
"De 25 a 29 años (024)",570,,,,,36,310,224
"De 30 a 34 años (025)",564,,,,,98,308,158
"De 35 a 39 años (026)",514,,,,7,156,226,125
"De 40 a 44 años (027)",413,,,,40,187,93,93
"De 45 a 49 años (028)",340,,,1,53,184,35,67
"De 50 y más años (029)",537,,15,88,198,115,8,113
"Desocupada (030)",133,,,2,1,15,62,53
"De 15 a 19 años (032)",8,,,,,,3,5
"De 20 a 24 años (033)",43,,,,,,22,21
"De 25 a 29 años (034)",26,,,,,,15,11
"De 30 a 34 años (035)",23,,,,,3,9,11
"De 35 a 39 años (036)",11,,,,,3,8,
"De 40 a 44 años (037)",10,,,,,5,3,2
"De 45 a 49 años (038)",8,,,,,3,2,3
"De 50 y más años (039)",4,,,2,1,1,,
"No PEA (040)",7107,27,105,277,591,1247,2950,1910
"De 12 a 14 años (041)",29,,,,,,4,25
"De 15 a 19 años (042)",390,,,,,,197,193
"De 20 a 24 años (043)",1134,,,,,2,690,442
"De 25 a 29 años (044)",1152,,,,,46,767,339
"De 30 a 34 años (045)",953,,,,,137,617,199
"De 35 a 39 años (046)",791,,,,12,246,394,139
"De 40 a 44 años (047)",686,,,,42,308,215,121
"De 45 a 49 años (048)",506,,,,96,271,52,87
