"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CHURCAMPA (000)",30227,5821,5278,5424,4677,3516,5511
"Católica (001)",19875,3680,3453,3622,3097,2319,3704
"Cristiana/Evangélica (002)",10005,2076,1758,1726,1530,1160,1755
"Otra (003)",139,24,13,23,28,20,31
"Ninguna (004)",208,41,54,53,22,17,21
"Hombres (006)",14729,2888,2638,2685,2283,1722,2513
"Católica (007)",9893,1871,1786,1841,1533,1167,1695
"Cristiana/Evangélica (008)",4622,971,811,801,720,531,788
"Otra (009)",78,17,5,9,16,12,19
"Ninguna (010)",136,29,36,34,14,12,11
"Mujeres (012)",15498,2933,2640,2739,2394,1794,2998
"Católica (013)",9982,1809,1667,1781,1564,1152,2009
"Cristiana/Evangélica (014)",5383,1105,947,925,810,629,967
"Otra (015)",61,7,8,14,12,8,12
"Ninguna (016)",72,12,18,19,8,5,10
,,,,,,,
"URBANA (018)",7588,1253,1222,1567,1332,1015,1199
"Católica (019)",6044,973,963,1244,1082,804,978
"Cristiana/Evangélica (020)",1383,258,220,284,223,193,205
"Otra (021)",50,5,6,9,13,7,10
"Ninguna (022)",111,17,33,30,14,11,6
"Hombres (024)",3950,639,635,839,710,563,564
"Católica (025)",3170,507,504,671,574,456,458
"Cristiana/Evangélica (026)",675,117,105,142,119,95,97
"Otra (027)",30,4,4,4,8,4,6
"Ninguna (028)",75,11,22,22,9,8,3
"Mujeres (030)",3638,614,587,728,622,452,635
"Católica (031)",2874,466,459,573,508,348,520
"Cristiana/Evangélica (032)",708,141,115,142,104,98,108
"Otra (033)",20,1,2,5,5,3,4
"Ninguna (034)",36,6,11,8,5,3,3
,,,,,,,
"RURAL (036)",22639,4568,4056,3857,3345,2501,4312
"Católica (037)",13831,2707,2490,2378,2015,1515,2726
"Cristiana/Evangélica (038)",8622,1818,1538,1442,1307,967,1550
"Otra (039)",89,19,7,14,15,13,21
"Ninguna (040)",97,24,21,23,8,6,15
"Hombres (042)",10779,2249,2003,1846,1573,1159,1949
"Católica (043)",6723,1364,1282,1170,959,711,1237
"Cristiana/Evangélica (044)",3947,854,706,659,601,436,691
"Otra (045)",48,13,1,5,8,8,13
"Ninguna (046)",61,18,14,12,5,4,8
"Mujeres (048)",11860,2319,2053,2011,1772,1342,2363
"Católica (049)",7108,1343,1208,1208,1056,804,1489
"Cristiana/Evangélica (050)",4675,964,832,783,706,531,859
"Otra (051)",41,6,6,9,7,5,8
"Ninguna (052)",36,6,7,11,3,2,7
