"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ILO (000)",26126,410,19,2685,9247,2625,4933,1878,4329
"Empleado (001)",9004,56,3,264,1880,816,2301,879,2805
"Obrero (002)",6042,57,3,685,2882,661,1048,331,375
"Trabajador independiente (003)",9216,248,3,1412,3678,993,1355,552,975
"Empleador o patrono (004)",535,3,3,61,158,39,101,52,118
"Trabajador familiar no remunerado (005)",681,25,6,151,275,58,84,45,37
"Trabajador del hogar (006)",648,21,1,112,374,58,44,19,19
"Hombres (008)",16445,111,9,1457,6420,1689,2997,1221,2541
"Empleado (009)",4894,17,2,128,1137,420,1132,529,1529
"Obrero (010)",5566,39,2,602,2688,610,977,301,347
"Trabajador independiente (011)",5339,45,1,642,2337,610,799,338,567
"Empleador o patrono (012)",356,2,,35,111,25,64,37,82
"Trabajador familiar no remunerado (013)",256,6,4,47,129,20,22,14,14
"Trabajador del hogar (014)",34,2,,3,18,4,3,2,2
"Mujeres (016)",9681,299,10,1228,2827,936,1936,657,1788
"Empleado (017)",4110,39,1,136,743,396,1169,350,1276
"Obrero (018)",476,18,1,83,194,51,71,30,28
"Trabajador independiente (019)",3877,203,2,770,1341,383,556,214,408
"Empleador o patrono (020)",179,1,3,26,47,14,37,15,36
"Trabajador familiar no remunerado (021)",425,19,2,104,146,38,62,31,23
"Trabajador del hogar (022)",614,19,1,109,356,54,41,17,17
,,,,,,,,,
"URBANA (024)",25791,409,19,2648,9126,2613,4867,1854,4255
"Empleado (025)",8835,56,3,262,1843,812,2250,866,2743
"Obrero (026)",5962,57,3,673,2837,655,1037,327,373
"Trabajador independiente (027)",9148,247,3,1393,3649,992,1352,545,967
"Empleador o patrono (028)",534,3,3,61,157,39,101,52,118
"Trabajador familiar no remunerado (029)",666,25,6,148,267,57,83,45,35
"Trabajador del hogar (030)",646,21,1,111,373,58,44,19,19
"Hombres (032)",16173,111,9,1433,6319,1677,2943,1201,2480
"Empleado (033)",4749,17,2,126,1103,416,1093,518,1474
"Obrero (034)",5489,39,2,591,2644,604,966,297,346
"Trabajador independiente (035)",5297,45,1,632,2318,609,796,333,563
"Empleador o patrono (036)",355,2,,35,110,25,64,37,82
"Trabajador familiar no remunerado (037)",249,6,4,46,126,19,21,14,13
"Trabajador del hogar (038)",34,2,,3,18,4,3,2,2
"Mujeres (040)",9618,298,10,1215,2807,936,1924,653,1775
"Empleado (041)",4086,39,1,136,740,396,1157,348,1269
"Obrero (042)",473,18,1,82,193,51,71,30,27
"Trabajador independiente (043)",3851,202,2,761,1331,383,556,212,404
"Empleador o patrono (044)",179,1,3,26,47,14,37,15,36
"Trabajador familiar no remunerado (045)",417,19,2,102,141,38,62,31,22
"Trabajador del hogar (046)",612,19,1,108,355,54,41,17,17
,,,,,,,,,
"RURAL (048)",335,1,,37,121,12,66,24,74
"Empleado (049)",169,,,2,37,4,51,13,62
"Obrero (050)",80,,,12,45,6,11,4,2
"Trabajador independiente (051)",68,1,,19,29,1,3,7,8
"Empleador o patrono (052)",1,,,,1,,,,
"Trabajador familiar no remunerado (053)",15,,,3,8,1,1,,2
"Trabajador del hogar (054)",2,,,1,1,,,,
"Hombres (056)",272,,,24,101,12,54,20,61
"Empleado (057)",145,,,2,34,4,39,11,55
"Obrero (058)",77,,,11,44,6,11,4,1
"Trabajador independiente (059)",42,,,10,19,1,3,5,4
"Empleador o patrono (060)",1,,,,1,,,,
"Trabajador familiar no remunerado (061)",7,,,1,3,1,1,,1
"Mujeres (064)",63,1,,13,20,,12,4,13
"Empleado (065)",24,,,,3,,12,2,7
"Obrero (066)",3,,,1,1,,,,1
"Trabajador independiente (067)",26,1,,9,10,,,2,4
"Trabajador familiar no remunerado (069)",8,,,2,5,,,,1
"Trabajador del hogar (070)",2,,,1,1,,,,
