"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",19776,19169,5814,2240,2192,1823,2872,2010,2218,607
"Católica (001)",15270,14792,4754,1793,1706,1396,2134,1479,1530,478
"Cristiana/Evangélica (002)",3595,3499,826,331,382,355,591,430,584,96
"Otra (003)",581,561,127,69,63,43,108,76,75,20
"Ninguna (004)",330,317,107,47,41,29,39,25,29,13
,,,,,,,,,,
"URBANA (006)",7596,7381,2368,1001,1014,783,1063,608,544,215
"Católica (007)",6034,5858,1964,824,827,617,804,457,365,176
"Cristiana/Evangélica (008)",1264,1238,309,127,151,142,218,131,160,26
"Otra (009)",109,105,27,22,13,10,18,8,7,4
"Ninguna (010)",189,180,68,28,23,14,23,12,12,9
,,,,,,,,,,
"RURAL (012)",12180,11788,3446,1239,1178,1040,1809,1402,1674,392
"Católica (013)",9236,8934,2790,969,879,779,1330,1022,1165,302
"Cristiana/Evangélica (014)",2331,2261,517,204,231,213,373,299,424,70
"Otra (015)",472,456,100,47,50,33,90,68,68,16
"Ninguna (016)",141,137,39,19,18,15,16,13,17,4
