"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PURUS (000)",1140,1114,289,178,151,111,185,118,51,31,26,3162
"De 12 a 14 años (001)",148,146,140,6,,,,,,,2,6
"De 15 a 19 años (002)",191,187,90,68,27,2,,,,,4,128
"De 20 a 24 años (003)",141,136,24,38,48,20,6,,,,5,220
"De 25 a 29 años (004)",161,158,10,23,34,38,44,9,,,3,455
"De 30 a 34 años (005)",130,126,10,15,21,17,38,20,5,,4,446
"De 35 a 39 años (006)",98,97,8,6,11,9,28,24,8,3,1,433
"De 40 a 44 años (007)",86,84,1,9,1,10,26,24,8,5,2,431
"De 45 a 49 años (008)",56,55,2,4,3,6,12,16,9,3,1,292
"De 50 y más años (009)",129,125,4,9,6,9,31,25,21,20,4,751
"PEA (010)",233,221,36,53,42,22,38,19,7,4,12,588
"De 12 a 14 años (011)",3,3,3,,,,,,,,,
"De 15 a 19 años (012)",13,13,4,6,3,,,,,,,12
"De 20 a 24 años (013)",36,33,7,10,9,4,3,,,,3,53
"De 25 a 29 años (014)",39,36,7,12,8,4,5,,,,3,61
"De 30 a 34 años (015)",45,41,8,10,12,2,6,3,,,4,86
"De 35 a 39 años (016)",29,28,4,3,7,5,7,1,1,,1,76
"De 40 a 44 años (017)",35,35,1,7,,7,10,7,2,1,,142
"De 45 a 49 años (018)",18,17,1,4,2,,4,3,1,2,1,74
"De 50 y más años (019)",15,15,1,1,1,,3,5,3,1,,84
"Ocupada (020)",228,217,33,53,41,22,38,19,7,4,11,586
"De 12 a 14 años (021)",2,2,2,,,,,,,,,
"De 15 a 19 años (022)",12,12,3,6,3,,,,,,,12
"De 20 a 24 años (023)",35,32,6,10,9,4,3,,,,3,53
"De 25 a 29 años (024)",37,35,7,12,7,4,5,,,,2,59
