"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ACOMAYO (000)",7899,206,1978,2905,2069,741
"Agric., ganadería, caza y silvicultura (001)",5248,157,1125,1866,1486,614
"Pesca (002)",2,,,,1,1
"Explotación de minas y canteras (003)",14,,7,7,,
"Industrias manufactureras (004)",170,4,61,58,37,10
"Suministro de electricidad, gas y agua (005)",14,,8,4,2,
"Construcción (006)",442,4,147,194,88,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",408,6,106,178,94,24
"Venta, mant.y rep. veh.autom.y motoc. (008)",15,,4,6,5,
"Comercio al por mayor (009)",18,,2,9,4,3
"Comercio al por menor (010)",375,6,100,163,85,21
"Hoteles y restaurantes (011)",136,3,64,39,20,10
"Trans., almac. y comunicaciones (012)",92,,47,26,18,1
"Intermediación financiera (013)",1,,1,,,
"Activid.inmobil., empres. y alquileres (014)",48,,12,16,19,1
"Admin.pub. y defensa; p. segur.soc afil (015)",219,,50,109,56,4
"Enseñanza (016)",325,,81,153,90,1
"Servicios sociales y de salud (017)",59,,24,28,6,1
"Otras activ. serv.comun.soc y personales (018)",78,4,25,34,13,2
"Hogares privados con servicio doméstico (019)",84,20,36,16,10,2
"Actividad economica no especificada (021)",293,,69,96,74,54
"Desocupado (022)",266,8,115,81,55,7
"Hombres (023)",5294,119,1301,2016,1405,453
"Agric., ganadería, caza y silvicultura (024)",3621,92,777,1336,1018,398
"Pesca (025)",2,,,,1,1
"Explotación de minas y canteras (026)",13,,6,7,,
"Industrias manufactureras (027)",140,4,49,51,30,6
"Suministro de electricidad, gas y agua (028)",12,,6,4,2,
"Construcción (029)",419,4,138,186,83,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",169,3,44,74,39,9
"Venta, mant.y rep. veh.autom.y motoc. (031)",13,,4,5,4,
"Comercio al por mayor (032)",5,,1,2,1,1
"Comercio al por menor (033)",151,3,39,67,34,8
"Hoteles y restaurantes (034)",11,,8,2,1,
"Trans., almac. y comunicaciones (035)",86,,42,26,17,1
"Intermediación financiera (036)",1,,1,,,
"Activid.inmobil., empres. y alquileres (037)",37,,6,14,16,1
"Admin.pub. y defensa; p. segur.soc afil (038)",190,,40,96,52,2
"Enseñanza (039)",193,,44,86,62,1
"Servicios sociales y de salud (040)",11,,3,5,2,1
"Otras activ. serv.comun.soc y personales (041)",57,3,15,26,11,2
