"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ICA (000)",96745,928,27571,29357,13733,5588,2267,540,81,,16680
"Catolica (001)",86138,795,24197,26171,12383,5098,2055,488,70,,14881
"Cristiana / Evangelica (002)",7435,107,2472,2267,914,345,144,34,7,,1145
"Otra (003)",2037,12,547,598,321,110,50,14,2,,383
"Ninguna (004)",1135,14,355,321,115,35,18,4,2,,271
,,,,,,,,,,,
"URBANA (006)",88690,822,24730,26892,12875,5276,2143,498,69,,15385
"Catolica (007)",78791,705,21637,23913,11594,4804,1937,448,58,,13695
"Cristiana / Evangelica (008)",6881,94,2246,2105,861,329,139,32,7,,1068
"Otra (009)",1972,11,521,583,311,109,49,14,2,,372
"Ninguna (010)",1046,12,326,291,109,34,18,4,2,,250
,,,,,,,,,,,
"RURAL (012)",8055,106,2841,2465,858,312,124,42,12,,1295
"Catolica (013)",7347,90,2560,2258,789,294,118,40,12,,1186
"Cristiana / Evangelica (014)",554,13,226,162,53,16,5,2,,,77
"Otra (015)",65,1,26,15,10,1,1,,,,11
"Ninguna (016)",89,2,29,30,6,1,,,,,21
