"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia ICA",,,,,,,
"Hogares (001)",81029,4256,954,765,1810,2365,71893
"Ocupantes presentes (002)",317159,17597,3889,3646,7882,10908,277857
"Casa independiente",,,,,,,
"Hogares (004)",70608,3819,871,684,1625,2139,62407
"Ocupantes presentes (005)",281423,15964,3603,3270,7155,9931,245772
"Departamento en edificio",,,,,,,
"Hogares (007)",1566,104,15,6,21,17,1414
"Ocupantes presentes (008)",4968,362,47,21,77,80,4422
"Vivienda en quinta",,,,,,,
"Hogares (010)",1086,70,14,3,15,20,971
"Ocupantes presentes (011)",3538,274,41,10,53,80,3108
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",835,30,8,6,10,14,774
"Ocupantes presentes (014)",2576,115,25,26,40,67,2336
"Choza o cabaña",,,,,,,
"Hogares (016)",1125,15,6,6,18,24,1060
"Ocupantes presentes (017)",3452,48,17,26,69,87,3218
"Vivienda improvisada",,,,,,,
"Hogares (019)",5231,196,37,58,117,146,4724
"Ocupantes presentes (020)",19551,755,141,285,468,642,17488
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",137,10,1,,,3,123
"Ocupantes presentes (023)",374,38,7,,,12,317
"Otro tipo",,,,,,,
"Hogares (025)",441,12,2,2,4,2,420
"Ocupantes presentes (026)",1277,41,8,8,20,9,1196
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",73598,4099,889,699,1669,2177,65030
"Ocupantes presentes (029)",290530,17072,3646,3346,7358,10120,253418
"Casa independiente",,,,,,,
"Hogares (031)",64325,3677,812,624,1502,1975,56627
"Ocupantes presentes (032)",258311,15487,3377,2996,6700,9230,224616
"Departamento en edificio",,,,,,,
"Hogares (034)",1566,104,15,6,21,17,1414
"Ocupantes presentes (035)",4968,362,47,21,77,80,4422
"Vivienda en quinta",,,,,,,
"Hogares (037)",1086,70,14,3,15,20,971
"Ocupantes presentes (038)",3538,274,41,10,53,80,3108
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",835,30,8,6,10,14,774
"Ocupantes presentes (041)",2576,115,25,26,40,67,2336
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",5231,196,37,58,117,146,4724
"Ocupantes presentes (047)",19551,755,141,285,468,642,17488
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",125,10,1,,,3,111
"Ocupantes presentes (050)",336,38,7,,,12,279
"Otro tipo",,,,,,,
"Hogares (052)",430,12,2,2,4,2,409
"Ocupantes presentes (053)",1250,41,8,8,20,9,1169
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",7431,157,65,66,141,188,6863
"Ocupantes presentes (056)",26629,525,243,300,524,788,24439
"Casa independiente",,,,,,,
"Hogares (058)",6283,142,59,60,123,164,5780
"Ocupantes presentes (059)",23112,477,226,274,455,701,21156
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",1125,15,6,6,18,24,1060
"Ocupantes presentes (071)",3452,48,17,26,69,87,3218
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",12,,,,,,12
"Ocupantes presentes (077)",38,,,,,,38
"Otro tipo",,,,,,,
"Hogares (079)",11,,,,,,11
"Ocupantes presentes (080)",27,,,,,,27
