"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia PATAZ (000)",17376,72,281,831,1518,2939,8101,3634
"De 12 a 14 años (001)",28,,,,,,5,23
"De 15 a 19 años (002)",622,,,,,,410,212
"De 20 a 24 años (003)",2054,,,,,6,1459,589
"De 25 a 29 años (004)",2297,,,,,75,1705,517
"De 30 a 34 años (005)",2201,,,,,227,1606,368
"De 35 a 39 años (006)",2154,,,,11,438,1449,256
"De 40 a 44 años (007)",1599,,,,27,489,866,217
"De 45 a 49 años (008)",1382,,,2,103,610,494,173
"De 50 y más años (009)",5039,72,281,829,1377,1094,107,1279
"PEA (010)",2705,3,22,74,195,592,1083,736
"De 12 a 14 años (011)",3,,,,,,,3
"De 15 a 19 años (012)",52,,,,,,29,23
"De 20 a 24 años (013)",279,,,,,1,162,116
"De 25 a 29 años (014)",387,,,,,15,218,154
"De 30 a 34 años (015)",416,,,,,56,241,119
"De 35 a 39 años (016)",390,,,,6,101,216,67
"De 40 a 44 años (017)",337,,,,6,133,136,62
"De 45 a 49 años (018)",275,,,1,26,132,69,47
"De 50 y más años (019)",566,3,22,73,157,154,12,145
"Ocupada (020)",2639,3,22,71,193,586,1053,711
"De 12 a 14 años (021)",2,,,,,,,2
"De 15 a 19 años (022)",45,,,,,,25,20
"De 20 a 24 años (023)",261,,,,,1,151,109
"De 25 a 29 años (024)",378,,,,,15,213,150
"De 30 a 34 años (025)",405,,,,,55,236,114
"De 35 a 39 años (026)",383,,,,6,101,212,64
"De 40 a 44 años (027)",333,,,,6,130,135,62
"De 45 a 49 años (028)",274,,,1,26,131,69,47
"De 50 y más años (029)",558,3,22,70,155,153,12,143
"Desocupada (030)",66,,,3,2,6,30,25
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",7,,,,,,4,3
"De 20 a 24 años (033)",18,,,,,,11,7
"De 25 a 29 años (034)",9,,,,,,5,4
"De 30 a 34 años (035)",11,,,,,1,5,5
"De 35 a 39 años (036)",7,,,,,,4,3
"De 40 a 44 años (037)",4,,,,,3,1,
"De 45 a 49 años (038)",1,,,,,1,,
"De 50 y más años (039)",8,,,3,2,1,,2
"No PEA (040)",14671,69,259,757,1323,2347,7018,2898
"De 12 a 14 años (041)",25,,,,,,5,20
"De 15 a 19 años (042)",570,,,,,,381,189
"De 20 a 24 años (043)",1775,,,,,5,1297,473
"De 25 a 29 años (044)",1910,,,,,60,1487,363
"De 30 a 34 años (045)",1785,,,,,171,1365,249
"De 35 a 39 años (046)",1764,,,,5,337,1233,189
"De 40 a 44 años (047)",1262,,,,21,356,730,155
