"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CASMA (000)",42100,809,11879,11285,8686,6510,2931
"Jefe o Jefa (001)",10832,,11,1518,3740,3726,1837
"Esposa(o) / compañera(o) (002)",6985,,7,1627,2744,2051,556
"Hijo(a) / hijastro(a) (003)",17255,499,9065,5948,1459,278,6
"Yerno / nuera (004)",858,,4,544,269,39,2
"Nieto(a) (005)",2902,246,2110,523,21,2,
"Padres / suegros (006)",461,,,,7,93,361
"Otro(a) pariente (007)",2271,58,611,898,321,233,150
"Trabajador(a) del hogar (008)",27,,2,14,9,2,
"Pensionistas (009)",42,,2,18,9,12,1
"Otro(a) no pariente (010)",467,6,67,195,107,74,18
"Hombres (011)",21525,432,6165,5790,4312,3290,1536
"Jefe o Jefa (012)",7981,,6,1176,2846,2690,1263
"Esposa(o) / compañera(o) (013)",618,,5,126,236,193,58
"Hijo(a) / hijastro(a) (014)",9200,260,4673,3345,773,147,2
"Yerno / nuera (015)",421,,,206,183,30,2
"Nieto(a) (016)",1564,140,1117,298,8,1,
"Padres / suegros (017)",161,,,,3,29,129
"Otro(a) pariente (018)",1286,27,337,515,202,138,67
"Trabajador(a) del hogar (019)",3,,,2,1,,
"Pensionistas (020)",27,,,9,5,12,1
"Otro(a) no pariente (021)",264,5,27,113,55,50,14
"Mujeres (022)",20575,377,5714,5495,4374,3220,1395
"Jefe o Jefa (023)",2851,,5,342,894,1036,574
"Esposa(o) / compañera(o) (024)",6367,,2,1501,2508,1858,498
"Hijo(a) / hijastro(a) (025)",8055,239,4392,2603,686,131,4
"Yerno / nuera (026)",437,,4,338,86,9,
"Nieto(a) (027)",1338,106,993,225,13,1,
"Padres / suegros (028)",300,,,,4,64,232
"Otro(a) pariente (029)",985,31,274,383,119,95,83
"Trabajador(a) del hogar (030)",24,,2,12,8,2,
"Pensionistas (031)",15,,2,9,4,,
"Otro(a) no pariente (032)",203,1,40,82,52,24,4
,,,,,,,
"URBANA (033)",29251,557,8004,7895,6265,4588,1942
"Jefe o Jefa (034)",7568,,9,1064,2665,2629,1201
"Esposa(o) / compañera(o) (035)",4706,,6,1082,1913,1378,327
"Hijo(a) / hijastro(a) (036)",11670,336,5959,4095,1069,208,3
"Yerno / nuera (037)",659,,3,406,214,34,2
"Nieto(a) (038)",2102,182,1522,381,15,2,
"Padres / suegros (039)",354,,,,7,71,276
"Otro(a) pariente (040)",1745,33,452,680,271,187,122
"Trabajador(a) del hogar (041)",22,,2,11,7,2,
"Pensionistas (042)",41,,2,18,9,12,
"Otro(a) no pariente (043)",384,6,49,158,95,65,11
"Hombres (044)",14743,283,4159,3955,3055,2292,999
"Jefe o Jefa (045)",5356,,5,785,1946,1829,791
"Esposa(o) / compañera(o) (046)",472,,5,100,184,139,44
"Hijo(a) / hijastro(a) (047)",6094,161,3078,2208,538,108,1
"Yerno / nuera (048)",348,,,165,154,27,2
"Nieto(a) (049)",1144,103,812,221,7,1,
"Padres / suegros (050)",124,,,,3,22,99
"Otro(a) pariente (051)",969,14,240,377,170,113,55
"Trabajador(a) del hogar (052)",3,,,2,1,,
"Pensionistas (053)",26,,,9,5,12,
"Otro(a) no pariente (054)",207,5,19,88,47,41,7
"Mujeres (055)",14508,274,3845,3940,3210,2296,943
"Jefe o Jefa (056)",2212,,4,279,719,800,410
"Esposa(o) / compañera(o) (057)",4234,,1,982,1729,1239,283
"Hijo(a) / hijastro(a) (058)",5576,175,2881,1887,531,100,2
"Yerno / nuera (059)",311,,3,241,60,7,
"Nieto(a) (060)",958,79,710,160,8,1,
"Padres / suegros (061)",230,,,,4,49,177
"Otro(a) pariente (062)",776,19,212,303,101,74,67
"Trabajador(a) del hogar (063)",19,,2,9,6,2,
"Pensionistas (064)",15,,2,9,4,,
"Otro(a) no pariente (065)",177,1,30,70,48,24,4
,,,,,,,
"RURAL (066)",12849,252,3875,3390,2421,1922,989
"Jefe o Jefa (067)",3264,,2,454,1075,1097,636
"Esposa(o) / compañera(o) (068)",2279,,1,545,831,673,229
"Hijo(a) / hijastro(a) (069)",5585,163,3106,1853,390,70,3
"Yerno / nuera (070)",199,,1,138,55,5,
"Nieto(a) (071)",800,64,588,142,6,,
"Padres / suegros (072)",107,,,,,22,85
"Otro(a) pariente (073)",526,25,159,218,50,46,28
"Trabajador(a) del hogar (074)",5,,,3,2,,
"Pensionistas (075)",1,,,,,,1
"Otro(a) no pariente (076)",83,,18,37,12,9,7
"Hombres (077)",6782,149,2006,1835,1257,998,537
"Jefe o Jefa (078)",2625,,1,391,900,861,472
"Esposa(o) / compañera(o) (079)",146,,,26,52,54,14
"Hijo(a) / hijastro(a) (080)",3106,99,1595,1137,235,39,1
"Yerno / nuera (081)",73,,,41,29,3,
"Nieto(a) (082)",420,37,305,77,1,,
"Padres / suegros (083)",37,,,,,7,30
"Otro(a) pariente (084)",317,13,97,138,32,25,12
"Pensionistas (086)",1,,,,,,1
"Otro(a) no pariente (087)",57,,8,25,8,9,7
"Mujeres (088)",6067,103,1869,1555,1164,924,452
"Jefe o Jefa (089)",639,,1,63,175,236,164
"Esposa(o) / compañera(o) (090)",2133,,1,519,779,619,215
"Hijo(a) / hijastro(a) (091)",2479,64,1511,716,155,31,2
"Yerno / nuera (092)",126,,1,97,26,2,
"Nieto(a) (093)",380,27,283,65,5,,
"Padres / suegros (094)",70,,,,,15,55
"Otro(a) pariente (095)",209,12,62,80,18,21,16
"Trabajador(a) del hogar (096)",5,,,3,2,,
"Otro(a) no pariente (098)",26,,10,12,4,,
