"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ESPINAR (000)",22864,17883,1959,1292,1730
"Empleado (001)",2893,933,426,611,923
"Obrero (002)",3677,1654,651,629,743
"Trabajador independiente (003)",10875,10295,580,,
"Empleador o patrono (004)",222,133,21,16,52
"Trabajador familiar no remunerado (005)",4957,4628,281,36,12
"Trabajador del hogar (006)",240,240,,,
"De 06 a 14 años (008)",514,461,44,9,
"Empleado (009)",35,30,3,2,
"Obrero (010)",27,20,3,4,
"Trabajador independiente (011)",81,68,13,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",346,318,25,3,
"Trabajador del hogar (014)",24,24,,,
"De 15 a 29 años (016)",6818,5117,733,472,496
"Empleado (017)",1014,455,140,174,245
"Obrero (018)",1404,599,295,275,235
"Trabajador independiente (019)",2495,2317,178,,
"Empleador o patrono (020)",64,37,6,9,12
"Trabajador familiar no remunerado (021)",1684,1552,114,14,4
"Trabajador del hogar (022)",157,157,,,
"De 30 a 44 años (024)",7718,5644,753,555,766
"Empleado (025)",1270,307,209,297,457
"Obrero (026)",1331,563,234,240,294
"Trabajador independiente (027)",3678,3460,218,,
"Empleador o patrono (028)",73,45,10,7,11
"Trabajador familiar no remunerado (029)",1342,1245,82,11,4
"Trabajador del hogar (030)",24,24,,,
"De 45 a 64 años (032)",5865,4779,381,245,460
"Empleado (033)",550,129,69,136,216
"Obrero (034)",808,381,110,105,212
"Trabajador independiente (035)",3279,3128,151,,
"Empleador o patrono (036)",70,37,4,,29
"Trabajador familiar no remunerado (037)",1133,1079,47,4,3
"Trabajador del hogar (038)",25,25,,,
"De 65 y más años (040)",1949,1882,48,11,8
"Empleado (041)",24,12,5,2,5
"Obrero (042)",107,91,9,5,2
"Trabajador independiente (043)",1342,1322,20,,
"Empleador o patrono (044)",14,13,1,,
"Trabajador familiar no remunerado (045)",452,434,13,4,1
"Trabajador del hogar (046)",10,10,,,
,,,,,
"URBANA (048)",9491,6043,994,977,1477
"Empleado (049)",2542,788,364,552,838
"Obrero (050)",2070,802,292,394,582
"Trabajador independiente (051)",3878,3607,271,,
"Empleador o patrono (052)",163,81,17,13,52
"Trabajador familiar no remunerado (053)",667,594,50,18,5
