"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",1048,26,558,304,127,33
"Sin nivel (001)",68,2,20,16,17,13
"Primaria (003)",538,22,249,169,79,19
"Secundaria (004)",272,2,183,68,19,
"Superior no univ. incompleta (005)",40,,26,13,1,
"Superior no univ. completa (006)",90,,58,26,5,1
"Superior univ. incompleta (007)",16,,10,4,2,
"Superior univ. completa (008)",24,,12,8,4,
"Hombres (010)",882,19,449,265,118,31
"Sin nivel (011)",54,2,14,12,14,12
"Primaria (013)",453,16,194,150,75,18
"Secundaria (014)",240,1,158,63,18,
"Superior no univ. incompleta (015)",32,,20,11,1,
"Superior no univ. completa (016)",69,,44,19,5,1
"Superior univ. incompleta (017)",14,,9,3,2,
"Superior univ. completa (018)",20,,10,7,3,
"Mujeres (020)",166,7,109,39,9,2
"Sin nivel (021)",14,,6,4,3,1
"Primaria (023)",85,6,55,19,4,1
"Secundaria (024)",32,1,25,5,1,
"Superior no univ. incompleta (025)",8,,6,2,,
"Superior no univ. completa (026)",21,,14,7,,
"Superior univ. incompleta (027)",2,,1,1,,
"Superior univ. completa (028)",4,,2,1,1,
,,,,,,
"Area Urbana (030)",538,5,278,168,69,18
"Sin nivel (031)",31,2,7,9,7,6
"Primaria (033)",166,3,49,69,33,12
"Secundaria (034)",186,,124,45,17,
"Superior no univ. incompleta (035)",36,,24,11,1,
"Superior no univ. completa (036)",82,,52,25,5,
"Superior univ. incompleta (037)",16,,10,4,2,
"Superior univ. completa (038)",21,,12,5,4,
"Hombres (040)",454,4,226,142,66,16
"Sin nivel (041)",25,2,6,6,6,5
"Primaria (043)",147,2,40,62,32,11
"Secundaria (044)",161,,104,40,17,
"Superior no univ. incompleta (045)",29,,19,9,1,
"Superior no univ. completa (046)",61,,38,18,5,
"Superior univ. incompleta (047)",14,,9,3,2,
"Superior univ. completa (048)",17,,10,4,3,
"Mujeres (050)",84,1,52,26,3,2
"Sin nivel (051)",6,,1,3,1,1
"Primaria (053)",19,1,9,7,1,1
"Secundaria (054)",25,,20,5,,
"Superior no univ. incompleta (055)",7,,5,2,,
"Superior no univ. completa (056)",21,,14,7,,
"Superior univ. incompleta (057)",2,,1,1,,
"Superior univ. completa (058)",4,,2,1,1,
,,,,,,
"Area Rural (060)",510,21,280,136,58,15
"Sin nivel (061)",37,,13,7,10,7
"Primaria (063)",372,19,200,100,46,7
"Secundaria (064)",86,2,59,23,2,
"Superior no univ. incompleta (065)",4,,2,2,,
"Superior no univ. completa (066)",8,,6,1,,1
"Superior univ. completa (068)",3,,,3,,
"Hombres (070)",428,15,223,123,52,15
"Sin nivel (071)",29,,8,6,8,7
"Primaria (073)",306,14,154,88,43,7
"Secundaria (074)",79,1,54,23,1,
"Superior no univ. incompleta (075)",3,,1,2,,
"Superior no univ. completa (076)",8,,6,1,,1
"Superior univ. completa (078)",3,,,3,,
"Mujeres (080)",82,6,57,13,6,
"Sin nivel (081)",8,,5,1,2,
"Primaria (083)",66,5,46,12,3,
"Secundaria (084)",7,1,5,,1,
"Superior no univ. incompleta (085)",1,,1,,,
