"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUARAZ (000)",3563,797,2766
"De 14 a 29 años (001)",1832,628,1204
"De 30 a 44 años (002)",1068,146,922
"De 45 a 64 años (003)",555,23,532
"De 65 y más años (004)",108,,108
"Hombres (005)",2437,430,2007
"De 14 a 29 años (006)",1132,349,783
"De 30 a 44 años (007)",744,69,675
"De 45 a 64 años (008)",460,12,448
"De 65 y más años (009)",101,,101
"Mujeres (010)",1126,367,759
"De 14 a 29 años (011)",700,279,421
"De 30 a 44 años (012)",324,77,247
"De 45 a 64 años (013)",95,11,84
"De 65 y más años (014)",7,,7
,,,
"AREA URBANA (015)",2804,656,2148
"De 14 a 29 años (016)",1425,506,919
"De 30 a 44 años (017)",882,131,751
"De 45 a 64 años (018)",428,19,409
"De 65 y más años (019)",69,,69
"Hombres (020)",1796,331,1465
"De 14 a 29 años (021)",812,263,549
"De 30 a 44 años (022)",578,59,519
"De 45 a 64 años (023)",343,9,334
"De 65 y más años (024)",63,,63
"Mujeres (025)",1008,325,683
"De 14 a 29 años (026)",613,243,370
"De 30 a 44 años (027)",304,72,232
"De 45 a 64 años (028)",85,10,75
"De 65 y más años (029)",6,,6
,,,
"AREA RURAL (030)",759,141,618
"De 14 a 29 años (031)",407,122,285
"De 30 a 44 años (032)",186,15,171
"De 45 a 64 años (033)",127,4,123
"De 65 y más años (034)",39,,39
"Hombres (035)",641,99,542
"De 14 a 29 años (036)",320,86,234
"De 30 a 44 años (037)",166,10,156
"De 45 a 64 años (038)",117,3,114
"De 65 y más años (039)",38,,38
"Mujeres (040)",118,42,76
"De 14 a 29 años (041)",87,36,51
"De 30 a 44 años (042)",20,5,15
"De 45 a 64 años (043)",10,1,9
"De 65 y más años (044)",1,,1
