"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LAMPA (000)",45714,5934,1099,19324,14356,1477,1597,827,1100
"Quechua (001)",34085,4716,649,15862,10217,910,908,356,467
"Aymara (002)",168,9,,35,73,14,15,10,12
"Ashaninca (003)",7,4,,3,,,,,
"Otra lengua nativa (004)",13,6,,3,4,,,,
"Castellano (005)",11357,1145,448,3410,4056,553,674,459,612
"Idioma extranjero (006)",16,1,,1,3,,,2,9
"Es sordomudo/a (007)",68,53,2,10,3,,,,
"Hombres (009)",22750,1928,526,8576,8368,938,1063,571,780
"Quechua (010)",16440,1328,299,6914,6028,607,642,260,362
"Aymara (011)",116,5,,20,57,11,8,9,6
"Ashaninca (012)",3,2,,1,,,,,
"Otra lengua nativa (013)",4,2,,1,1,,,,
"Castellano (014)",6141,565,226,1631,2278,320,413,301,407
"Idioma extranjero (015)",9,1,,,2,,,1,5
"Es sordomudo/a (016)",37,25,1,9,2,,,,
"Mujeres (018)",22964,4006,573,10748,5988,539,534,256,320
"Quechua (019)",17645,3388,350,8948,4189,303,266,96,105
"Aymara (020)",52,4,,15,16,3,7,1,6
"Ashaninca (021)",4,2,,2,,,,,
"Otra lengua nativa (022)",9,4,,2,3,,,,
"Castellano (023)",5216,580,222,1779,1778,233,261,158,205
"Idioma extranjero (024)",7,,,1,1,,,1,4
"Es sordomudo/a (025)",31,28,1,1,1,,,,
,,,,,,,,,
"URBANA (027)",17597,1830,466,6041,6173,784,999,535,769
"Quechua (028)",10067,1143,170,3933,3495,375,480,182,289
"Aymara (029)",70,6,,17,21,9,7,4,6
"Otra lengua nativa (031)",3,1,,1,1,,,,
"Castellano (032)",7426,669,296,2085,2652,400,512,347,465
"Idioma extranjero (033)",16,1,,1,3,,,2,9
"Es sordomudo/a (034)",15,10,,4,1,,,,
"Hombres (036)",8649,615,239,2573,3310,443,609,353,507
"Quechua (037)",4760,277,88,1592,1909,224,332,124,214
"Aymara (038)",43,4,,10,13,8,2,3,3
"Castellano (041)",3829,329,151,968,1385,211,275,225,285
"Idioma extranjero (042)",9,1,,,2,,,1,5
"Es sordomudo/a (043)",8,4,,3,1,,,,
"Mujeres (045)",8948,1215,227,3468,2863,341,390,182,262
"Quechua (046)",5307,866,82,2341,1586,151,148,58,75
"Aymara (047)",27,2,,7,8,1,5,1,3
"Otra lengua nativa (049)",3,1,,1,1,,,,
"Castellano (050)",3597,340,145,1117,1267,189,237,122,180
"Idioma extranjero (051)",7,,,1,1,,,1,4
"Es sordomudo/a (052)",7,6,,1,,,,,
,,,,,,,,,
"RURAL (054)",28117,4104,633,13283,8183,693,598,292,331
"Quechua (055)",24018,3573,479,11929,6722,535,428,174,178
"Aymara (056)",98,3,,18,52,5,8,6,6
"Ashaninca (057)",7,4,,3,,,,,
"Otra lengua nativa (058)",10,5,,2,3,,,,
"Castellano (059)",3931,476,152,1325,1404,153,162,112,147
"Es sordomudo/a (061)",53,43,2,6,2,,,,
"Hombres (063)",14101,1313,287,6003,5058,495,454,218,273
"Quechua (064)",11680,1051,211,5322,4119,383,310,136,148
"Aymara (065)",73,1,,10,44,3,6,6,3
"Ashaninca (066)",3,2,,1,,,,,
"Otra lengua nativa (067)",4,2,,1,1,,,,
"Castellano (068)",2312,236,75,663,893,109,138,76,122
"Es sordomudo/a (070)",29,21,1,6,1,,,,
"Mujeres (072)",14016,2791,346,7280,3125,198,144,74,58
"Quechua (073)",12338,2522,268,6607,2603,152,118,38,30
"Aymara (074)",25,2,,8,8,2,2,,3
"Ashaninca (075)",4,2,,2,,,,,
"Otra lengua nativa (076)",6,3,,1,2,,,,
"Castellano (077)",1619,240,77,662,511,44,24,36,25
"Es sordomudo/a (079)",24,22,1,,1,,,,
