"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ANDAHUAYLAS (000)",142511,2760,50893,35491,25657,18093,9617
"Casa independiente (001)",138536,2671,49644,34446,24860,17573,9342
"Departamento en edificio (002)",747,11,220,217,206,72,21
"Vivienda en quinta (003)",478,5,156,131,106,65,15
"Vivienda en casa de vecindad (004)",1066,23,346,355,231,75,36
"Choza o cabaña (005)",1468,45,457,273,200,295,198
"Vivienda improvisada (006)",118,2,42,32,35,4,3
"Local no destinado para hab.humana (007)",85,3,26,31,18,6,1
"Otro tipo (008)",13,,2,6,1,3,1
,,,,,,,
"URBANA (009)",63451,1188,21343,17055,12650,7761,3454
"Casa independiente (010)",60968,1146,20555,16294,12058,7538,3377
"Departamento en edificio (011)",747,11,220,217,206,72,21
"Vivienda en quinta (012)",478,5,156,131,106,65,15
"Vivienda en casa de vecindad (013)",1066,23,346,355,231,75,36
"Vivienda improvisada (015)",118,2,42,32,35,4,3
"Local no destinado para hab.humana (016)",61,1,22,20,13,4,1
"Otro tipo (017)",13,,2,6,1,3,1
,,,,,,,
"RURAL (018)",79060,1572,29550,18436,13007,10332,6163
"Casa independiente (019)",77568,1525,29089,18152,12802,10035,5965
"Choza o cabaña (023)",1468,45,457,273,200,295,198
"Local no destinado para hab.humana (025)",24,2,4,11,5,2,
