"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CARAVELI (000)",9386,32412,6019,21984,3367,10428
"Casa independiente (001)",8331,29352,5657,20768,2674,8584
"Departamento en edificio (002)",4,7,4,7,,
"Vivienda en quinta (003)",74,242,74,242,,
"Vivienda en casa de vecindad (004)",115,388,115,388,,
"Choza o cabaña (005)",687,1832,,,687,1832
"Vivienda improvisada (006)",136,469,136,469,,
"Local no dest.para hab. humana (007)",26,89,25,86,1,3
"Otro tipo (008)",13,33,8,24,5,9
