"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia JORGE BASADRE",,,,,,,
"Viviendas particulares (001)",3171,1487,190,217,470,75,732
"Ocupantes presentes (002)",9239,4392,525,709,1510,259,1844
"Casa independiente",,,,,,,
"Viviendas particulares (004)",1824,696,56,192,399,66,415
"Ocupantes presentes (005)",6129,2612,221,638,1302,235,1121
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",745,733,12,,,,
"Ocupantes presentes (008)",1662,1633,29,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",25,5,19,,,,1
"Ocupantes presentes (011)",51,11,39,,,,1
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",138,38,100,,,,
"Ocupantes presentes (014)",301,86,215,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",402,,,24,70,9,299
"Ocupantes presentes (017)",973,,,67,207,24,675
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",19,3,3,1,,,12
"Ocupantes presentes (020)",74,15,21,4,,,34
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",16,12,,,1,,3
"Ocupantes presentes (023)",45,35,,,1,,9
"Otro tipo",,,,,,,
"Viviendas particulares (025)",2,,,,,,2
"Ocupantes presentes (026)",4,,,,,,4
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",1897,1445,186,39,56,56,115
"Ocupantes presentes (029)",5631,4243,511,146,211,196,324
"Casa independiente",,,,,,,
"Viviendas particulares (031)",961,659,52,38,56,56,100
"Ocupantes presentes (032)",3518,2477,207,142,211,196,285
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",745,733,12,,,,
"Ocupantes presentes (035)",1662,1633,29,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",25,5,19,,,,1
"Ocupantes presentes (038)",51,11,39,,,,1
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",138,38,100,,,,
"Ocupantes presentes (041)",301,86,215,,,,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",19,3,3,1,,,12
"Ocupantes presentes (047)",74,15,21,4,,,34
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",8,7,,,,,1
"Ocupantes presentes (050)",23,21,,,,,2
"Otro tipo",,,,,,,
"Viviendas particulares (052)",1,,,,,,1
"Ocupantes presentes (053)",2,,,,,,2
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",1274,42,4,178,414,19,617
"Ocupantes presentes (056)",3608,149,14,563,1299,63,1520
"Casa independiente",,,,,,,
"Viviendas particulares (058)",863,37,4,154,343,10,315
"Ocupantes presentes (059)",2611,135,14,496,1091,39,836
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",402,,,24,70,9,299
"Ocupantes presentes (071)",973,,,67,207,24,675
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",8,5,,,1,,2
"Ocupantes presentes (077)",22,14,,,1,,7
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,,,1
"Ocupantes presentes (080)",2,,,,,,2
