"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia FERREÑAFE (000)",44888,35680,9208
"De 3 a 5 años (001)",6774,520,6254
"De 6 a 11 años (002)",13451,11416,2035
"De 12 a 16 años (003)",11559,11259,300
"De 17 a 24 años (004)",13104,12485,619
"Hombres (005)",22787,18370,4417
"De 3 a 5 años (006)",3432,239,3193
"De 6 a 11 años (007)",6841,5875,966
"De 12 a 16 años (008)",6019,5912,107
"De 17 a 24 años (009)",6495,6344,151
"Mujeres (010)",22101,17310,4791
"De 3 a 5 años (011)",3342,281,3061
"De 6 a 11 años (012)",6610,5541,1069
"De 12 a 16 años (013)",5540,5347,193
"De 17 a 24 años (014)",6609,6141,468
,,,
"URBANA (015)",22658,19376,3282
"De 3 a 5 años (016)",2986,315,2671
"De 6 a 11 años (017)",6240,5815,425
"De 12 a 16 años (018)",6210,6134,76
"De 17 a 24 años (019)",7222,7112,110
"Hombres (020)",11430,9730,1700
"De 3 a 5 años (021)",1536,136,1400
"De 6 a 11 años (022)",3200,2984,216
"De 12 a 16 años (023)",3175,3136,39
"De 17 a 24 años (024)",3519,3474,45
"Mujeres (025)",11228,9646,1582
"De 3 a 5 años (026)",1450,179,1271
"De 6 a 11 años (027)",3040,2831,209
"De 12 a 16 años (028)",3035,2998,37
"De 17 a 24 años (029)",3703,3638,65
,,,
"RURAL (030)",22230,16304,5926
"De 3 a 5 años (031)",3788,205,3583
"De 6 a 11 años (032)",7211,5601,1610
"De 12 a 16 años (033)",5349,5125,224
"De 17 a 24 años (034)",5882,5373,509
"Hombres (035)",11357,8640,2717
"De 3 a 5 años (036)",1896,103,1793
"De 6 a 11 años (037)",3641,2891,750
"De 12 a 16 años (038)",2844,2776,68
"De 17 a 24 años (039)",2976,2870,106
"Mujeres (040)",10873,7664,3209
"De 3 a 5 años (041)",1892,102,1790
"De 6 a 11 años (042)",3570,2710,860
"De 12 a 16 años (043)",2505,2349,156
"De 17 a 24 años (044)",2906,2503,403
