"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia BARRANCA (000)",87781,85834,1947
"Hombres (001)",43864,43013,851
"Mujeres (002)",43917,42821,1096
"De 18 a 29 años (003)",27854,26768,1086
"Hombres (004)",14007,13430,577
"Mujeres (005)",13847,13338,509
"De 30 a 44 años (006)",27255,27013,242
"Hombres (007)",13374,13249,125
"Mujeres (008)",13881,13764,117
"De 45 a 64 años (009)",22214,21980,234
"Hombres (010)",11042,10960,82
"Mujeres (011)",11172,11020,152
"De 65 y más años (012)",10458,10073,385
"Hombres (013)",5441,5374,67
"Mujeres (014)",5017,4699,318
,,,
"URBANA (015)",75260,73697,1563
"Hombres (016)",37207,36500,707
"Mujeres (017)",38053,37197,856
"De 18 a 29 años (018)",23565,22677,888
"Hombres (019)",11713,11234,479
"Mujeres (020)",11852,11443,409
"De 30 a 44 años (021)",23450,23248,202
"Hombres (022)",11353,11240,113
"Mujeres (023)",12097,12008,89
"De 45 a 64 años (024)",19208,19028,180
"Hombres (025)",9466,9400,66
"Mujeres (026)",9742,9628,114
"De 65 y más años (027)",9037,8744,293
"Hombres (028)",4675,4626,49
"Mujeres (029)",4362,4118,244
,,,
"RURAL (030)",12521,12137,384
"Hombres (031)",6657,6513,144
"Mujeres (032)",5864,5624,240
"De 18 a 29 años (033)",4289,4091,198
"Hombres (034)",2294,2196,98
"Mujeres (035)",1995,1895,100
"De 30 a 44 años (036)",3805,3765,40
"Hombres (037)",2021,2009,12
"Mujeres (038)",1784,1756,28
"De 45 a 64 años (039)",3006,2952,54
"Hombres (040)",1576,1560,16
"Mujeres (041)",1430,1392,38
"De 65 y más años (042)",1421,1329,92
"Hombres (043)",766,748,18
"Mujeres (044)",655,581,74
