"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia TAMBOPATA",,,,,
"Viviendas particulares (001)",1744,337,268,339,800
"Ocupantes presentes (002)",7058,1295,1120,1401,3242
"Casa independiente",,,,,
"Viviendas particulares (004)",1546,296,250,302,698
"Ocupantes presentes (005)",6399,1142,1076,1284,2897
"Departamento en edificio",,,,,
"Viviendas particulares (007)",8,4,,1,3
"Ocupantes presentes (008)",33,14,,5,14
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",46,6,2,2,36
"Ocupantes presentes (011)",135,18,4,8,105
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",115,15,16,26,58
"Ocupantes presentes (014)",381,62,40,75,204
"Choza o cabaña",,,,,
"Viviendas particulares (016)",8,7,,1,
"Ocupantes presentes (017)",34,31,,3,
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",17,6,,7,4
"Ocupantes presentes (020)",66,22,,26,18
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",4,3,,,1
"Ocupantes presentes (023)",10,6,,,4
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",1685,323,245,326,791
"Ocupantes presentes (029)",6797,1240,999,1343,3215
"Casa independiente",,,,,
"Viviendas particulares (031)",1495,289,227,290,689
"Ocupantes presentes (032)",6172,1118,955,1229,2870
"Departamento en edificio",,,,,
"Viviendas particulares (034)",8,4,,1,3
"Ocupantes presentes (035)",33,14,,5,14
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",46,6,2,2,36
"Ocupantes presentes (038)",135,18,4,8,105
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",115,15,16,26,58
"Ocupantes presentes (041)",381,62,40,75,204
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",17,6,,7,4
"Ocupantes presentes (047)",66,22,,26,18
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",4,3,,,1
"Ocupantes presentes (050)",10,6,,,4
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",59,14,23,13,9
"Ocupantes presentes (056)",261,55,121,58,27
"Casa independiente",,,,,
"Viviendas particulares (058)",51,7,23,12,9
"Ocupantes presentes (059)",227,24,121,55,27
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",8,7,,1,
"Ocupantes presentes (071)",34,31,,3,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
