"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia BOLIVAR (000)",4382,601,637,2201,30,682,105,126
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",24,24,,,,,,
"Profes., científicos e intelectuales (002)",386,373,,11,1,1,,
"Técnicos de nivel medio y trab. asimilados (003)",56,37,,14,2,3,,
"Jefes y empleados de oficina (004)",97,95,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",208,9,5,127,3,64,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1820,,,1797,23,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",129,,31,89,,9,,
"Obreros construc.,conf.,papel, fab., instr. (008)",132,5,63,61,,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1170,38,447,35,,545,105,
"Otra (010)",10,10,,,,,,
"Ocupaciñn no especificada (011)",224,10,91,67,1,55,,
"Desocupado (012)",126,,,,,,,126
"Hombres (013)",3560,357,558,1998,28,502,13,104
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",19,19,,,,,,
"Profes., científicos e intelectuales (015)",209,200,,7,1,1,,
"Técnicos de nivel medio y trab. asimilados (016)",32,21,,9,1,1,,
"Jefes y empleados de oficina (017)",66,66,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",73,5,1,56,2,9,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",1772,,,1749,23,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",97,,26,66,,5,,
"Obreros construc.,conf.,papel, fab., instr. (021)",132,5,63,61,,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",924,25,404,14,,468,13,
"Otra (023)",10,10,,,,,,
"Ocupaciñn no especificada (024)",122,6,64,36,1,15,,
"Desocupado (025)",104,,,,,,,104
"Mujeres (026)",822,244,79,203,2,180,92,22
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",5,5,,,,,,
"Profes., científicos e intelectuales (028)",177,173,,4,,,,
"Técnicos de nivel medio y trab. asimilados (029)",24,16,,5,1,2,,
"Jefes y empleados de oficina (030)",31,29,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",135,4,4,71,1,55,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",48,,,48,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",32,,5,23,,4,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",246,13,43,21,,77,92,
"Ocupaciñn no especificada (037)",102,4,27,31,,40,,
"Desocupado (038)",22,,,,,,,22
,,,,,,,,
"URBANA (039)",1740,501,277,630,7,182,73,70
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",24,24,,,,,,
"Profes., científicos e intelectuales (041)",300,294,,4,1,1,,
"Técnicos de nivel medio y trab. asimilados (042)",47,33,,11,,3,,
"Jefes y empleados de oficina (043)",90,88,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",143,8,1,88,3,43,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",392,,,390,2,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",89,,25,58,,6,,
"Obreros construc.,conf.,papel, fab., instr. (047)",83,3,43,34,,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",417,35,184,22,,103,73,
"Otra (049)",10,10,,,,,,
"Ocupaciñn no especificada (050)",75,6,24,23,1,21,,
"Desocupado (051)",70,,,,,,,70
"Hombres (052)",1227,294,233,527,6,107,5,55
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",19,19,,,,,,
"Profes., científicos e intelectuales (054)",159,154,,3,1,1,,
"Técnicos de nivel medio y trab. asimilados (055)",27,19,,7,,1,,
"Jefes y empleados de oficina (056)",60,60,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",51,4,,37,2,8,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",382,,,380,2,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",66,,20,44,,2,,
"Obreros construc.,conf.,papel, fab., instr. (060)",83,3,43,34,,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",277,22,159,7,,84,5,
"Otra (062)",10,10,,,,,,
"Ocupaciñn no especificada (063)",38,3,11,15,1,8,,
"Desocupado (064)",55,,,,,,,55
"Mujeres (065)",513,207,44,103,1,75,68,15
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",5,5,,,,,,
"Profes., científicos e intelectuales (067)",141,140,,1,,,,
"Técnicos de nivel medio y trab. asimilados (068)",20,14,,4,,2,,
"Jefes y empleados de oficina (069)",30,28,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",92,4,1,51,1,35,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",10,,,10,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",23,,5,14,,4,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",140,13,25,15,,19,68,
"Ocupaciñn no especificada (076)",37,3,13,8,,13,,
"Desocupado (077)",15,,,,,,,15
,,,,,,,,
"RURAL (078)",2642,100,360,1571,23,500,32,56
"Profes., científicos e intelectuales (080)",86,79,,7,,,,
"Técnicos de nivel medio y trab. asimilados (081)",9,4,,3,2,,,
"Jefes y empleados de oficina (082)",7,7,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",65,1,4,39,,21,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1428,,,1407,21,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",40,,6,31,,3,,
"Obreros construc.,conf.,papel, fab., instr. (086)",49,2,20,27,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",753,3,263,13,,442,32,
"Ocupaciñn no especificada (089)",149,4,67,44,,34,,
"Desocupado (090)",56,,,,,,,56
"Hombres (091)",2333,63,325,1471,22,395,8,49
"Profes., científicos e intelectuales (093)",50,46,,4,,,,
"Técnicos de nivel medio y trab. asimilados (094)",5,2,,2,1,,,
"Jefes y empleados de oficina (095)",6,6,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",22,1,1,19,,1,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",1390,,,1369,21,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",31,,6,22,,3,,
"Obreros construc.,conf.,papel, fab., instr. (099)",49,2,20,27,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (100)",647,3,245,7,,384,8,
"Ocupaciñn no especificada (102)",84,3,53,21,,7,,
"Desocupado (103)",49,,,,,,,49
"Mujeres (104)",309,37,35,100,1,105,24,7
"Profes., científicos e intelectuales (106)",36,33,,3,,,,
"Técnicos de nivel medio y trab. asimilados (107)",4,2,,1,1,,,
