"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PARURO",,,
"Viviendas particulares (001)",8302,3095,5207
"Ocupantes presentes (002)",30753,11894,18859
"Casa independiente",,,
"Viviendas particulares (004)",7412,3072,4340
"Ocupantes presentes (005)",27092,11808,15284
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",22,10,12
"Ocupantes presentes (014)",68,37,31
"Choza o cabaña",,,
"Viviendas particulares (016)",859,10,849
"Ocupantes presentes (017)",3572,40,3532
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",7,3,4
"Ocupantes presentes (023)",18,9,9
"Otro tipo",,,
"Viviendas particulares (025)",2,,2
"Ocupantes presentes (026)",3,,3
,,,
URBANA,,,
"Viviendas particulares (028)",2987,1661,1326
"Ocupantes presentes (029)",10445,6032,4413
"Casa independiente",,,
"Viviendas particulares (031)",2959,1648,1311
"Ocupantes presentes (032)",10362,5986,4376
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",22,10,12
"Ocupantes presentes (041)",68,37,31
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",5,3,2
"Ocupantes presentes (050)",14,9,5
"Otro tipo",,,
"Viviendas particulares (052)",1,,1
"Ocupantes presentes (053)",1,,1
,,,
RURAL,,,
"Viviendas particulares (055)",5315,1434,3881
"Ocupantes presentes (056)",20308,5862,14446
"Casa independiente",,,
"Viviendas particulares (058)",4453,1424,3029
"Ocupantes presentes (059)",16730,5822,10908
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",859,10,849
"Ocupantes presentes (071)",3572,40,3532
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",2,,2
"Ocupantes presentes (077)",4,,4
"Otro tipo",,,
"Viviendas particulares (079)",1,,1
"Ocupantes presentes (080)",2,,2
