"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PUERTO INCA (000)",30810,803,11703,8183,5622,3541,958
"Jefe o Jefa (001)",7178,,3,1641,2921,2095,518
"Esposa(o) / compañera(o) (002)",4905,,15,1883,1889,968,150
"Hijo(a) / hijastro(a) (003)",13933,605,9943,3142,216,27,
"Yerno / nuera (004)",287,,9,220,51,6,1
"Nieto(a) (005)",1043,126,825,89,2,1,
"Padres / suegros (006)",364,,,,13,141,210
"Otro(a) pariente (007)",2055,57,722,740,303,178,55
"Trabajador(a) del hogar (008)",155,,11,96,31,15,2
"Pensionistas (009)",100,,13,46,29,11,1
"Otro(a) no pariente (010)",790,15,162,326,167,99,21
"Hombres (011)",16842,398,6118,4437,3158,2150,581
"Jefe o Jefa (012)",5979,,,1361,2441,1763,414
"Esposa(o) / compañera(o) (013)",268,,4,75,111,61,17
"Hijo(a) / hijastro(a) (014)",7710,305,5193,2033,157,22,
"Yerno / nuera (015)",119,,2,80,31,5,1
"Nieto(a) (016)",564,59,440,62,2,1,
"Padres / suegros (017)",168,,,,4,65,99
"Otro(a) pariente (018)",1299,28,380,508,223,129,31
"Trabajador(a) del hogar (019)",111,,6,66,25,13,1
"Pensionistas (020)",77,,7,33,26,10,1
"Otro(a) no pariente (021)",547,6,86,219,138,81,17
"Mujeres (022)",13968,405,5585,3746,2464,1391,377
"Jefe o Jefa (023)",1199,,3,280,480,332,104
"Esposa(o) / compañera(o) (024)",4637,,11,1808,1778,907,133
"Hijo(a) / hijastro(a) (025)",6223,300,4750,1109,59,5,
"Yerno / nuera (026)",168,,7,140,20,1,
"Nieto(a) (027)",479,67,385,27,,,
"Padres / suegros (028)",196,,,,9,76,111
"Otro(a) pariente (029)",756,29,342,232,80,49,24
"Trabajador(a) del hogar (030)",44,,5,30,6,2,1
"Pensionistas (031)",23,,6,13,3,1,
"Otro(a) no pariente (032)",243,9,76,107,29,18,4
,,,,,,,
"URBANA (033)",5982,144,2129,1544,1203,749,213
"Jefe o Jefa (034)",1398,,3,251,591,445,108
"Esposa(o) / compañera(o) (035)",865,,2,263,387,180,33
"Hijo(a) / hijastro(a) (036)",2488,103,1650,673,56,6,
"Yerno / nuera (037)",72,,1,49,18,3,1
"Nieto(a) (038)",287,27,232,28,,,
"Padres / suegros (039)",90,,,,8,30,52
"Otro(a) pariente (040)",428,11,170,140,61,35,11
"Trabajador(a) del hogar (041)",36,,4,18,8,6,
"Pensionistas (042)",39,,7,23,5,4,
"Otro(a) no pariente (043)",279,3,60,99,69,40,8
"Hombres (044)",3078,75,1084,754,606,431,128
"Jefe o Jefa (045)",1018,,,164,424,342,88
"Esposa(o) / compañera(o) (046)",67,,2,15,29,14,7
"Hijo(a) / hijastro(a) (047)",1329,58,841,391,35,4,
"Yerno / nuera (048)",36,,,16,16,3,1
"Nieto(a) (049)",149,9,121,19,,,
"Padres / suegros (050)",29,,,,3,7,19
"Otro(a) pariente (051)",232,6,86,74,37,24,5
"Trabajador(a) del hogar (052)",17,,1,7,5,4,
"Pensionistas (053)",23,,2,15,3,3,
"Otro(a) no pariente (054)",178,2,31,53,54,30,8
"Mujeres (055)",2904,69,1045,790,597,318,85
"Jefe o Jefa (056)",380,,3,87,167,103,20
"Esposa(o) / compañera(o) (057)",798,,,248,358,166,26
"Hijo(a) / hijastro(a) (058)",1159,45,809,282,21,2,
"Yerno / nuera (059)",36,,1,33,2,,
"Nieto(a) (060)",138,18,111,9,,,
"Padres / suegros (061)",61,,,,5,23,33
"Otro(a) pariente (062)",196,5,84,66,24,11,6
"Trabajador(a) del hogar (063)",19,,3,11,3,2,
"Pensionistas (064)",16,,5,8,2,1,
"Otro(a) no pariente (065)",101,1,29,46,15,10,
,,,,,,,
"RURAL (066)",24828,659,9574,6639,4419,2792,745
"Jefe o Jefa (067)",5780,,,1390,2330,1650,410
"Esposa(o) / compañera(o) (068)",4040,,13,1620,1502,788,117
"Hijo(a) / hijastro(a) (069)",11445,502,8293,2469,160,21,
"Yerno / nuera (070)",215,,8,171,33,3,
"Nieto(a) (071)",756,99,593,61,2,1,
"Padres / suegros (072)",274,,,,5,111,158
"Otro(a) pariente (073)",1627,46,552,600,242,143,44
"Trabajador(a) del hogar (074)",119,,7,78,23,9,2
"Pensionistas (075)",61,,6,23,24,7,1
"Otro(a) no pariente (076)",511,12,102,227,98,59,13
"Hombres (077)",13764,323,5034,3683,2552,1719,453
"Jefe o Jefa (078)",4961,,,1197,2017,1421,326
"Esposa(o) / compañera(o) (079)",201,,2,60,82,47,10
"Hijo(a) / hijastro(a) (080)",6381,247,4352,1642,122,18,
"Yerno / nuera (081)",83,,2,64,15,2,
"Nieto(a) (082)",415,50,319,43,2,1,
"Padres / suegros (083)",139,,,,1,58,80
"Otro(a) pariente (084)",1067,22,294,434,186,105,26
"Trabajador(a) del hogar (085)",94,,5,59,20,9,1
"Pensionistas (086)",54,,5,18,23,7,1
"Otro(a) no pariente (087)",369,4,55,166,84,51,9
"Mujeres (088)",11064,336,4540,2956,1867,1073,292
"Jefe o Jefa (089)",819,,,193,313,229,84
"Esposa(o) / compañera(o) (090)",3839,,11,1560,1420,741,107
"Hijo(a) / hijastro(a) (091)",5064,255,3941,827,38,3,
"Yerno / nuera (092)",132,,6,107,18,1,
"Nieto(a) (093)",341,49,274,18,,,
"Padres / suegros (094)",135,,,,4,53,78
"Otro(a) pariente (095)",560,24,258,166,56,38,18
"Trabajador(a) del hogar (096)",25,,2,19,3,,1
"Pensionistas (097)",7,,1,5,1,,
"Otro(a) no pariente (098)",142,8,47,61,14,8,4
