"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ABANCAY (000)",24837,564,10348,7167,2606,906,376,110,13,,2747
"Catolica (001)",21672,498,8944,6294,2336,788,330,103,11,,2368
"Cristiana / Evangelica (002)",2298,52,1072,629,194,71,33,3,2,,242
"Otra (003)",629,10,261,169,64,31,11,3,,,80
"Ninguna (004)",238,4,71,75,12,16,2,1,,,57
,,,,,,,,,,,
"URBANA (006)",15536,285,5443,4716,2033,706,292,77,7,,1977
"Catolica (007)",13695,245,4744,4199,1832,619,260,72,7,,1717
"Cristiana / Evangelica (008)",1187,29,471,328,134,48,23,3,,,151
"Otra (009)",487,9,183,140,56,26,8,2,,,63
"Ninguna (010)",167,2,45,49,11,13,1,,,,46
,,,,,,,,,,,
"RURAL (012)",9301,279,4905,2451,573,200,84,33,6,,770
"Catolica (013)",7977,253,4200,2095,504,169,70,31,4,,651
"Cristiana / Evangelica (014)",1111,23,601,301,60,23,10,,2,,91
"Otra (015)",142,1,78,29,8,5,3,1,,,17
"Ninguna (016)",71,2,26,26,1,3,1,1,,,11
