"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia EL COLLAO (000)",21954,144,6840,7806,2545,811,352,157,38,,3261
"Catolica (001)",16191,106,5035,5808,1877,575,245,99,26,,2420
"Cristiana / Evangelica (002)",3469,24,1086,1240,397,123,60,38,4,,497
"Otra (003)",1254,7,403,422,153,69,33,12,5,,150
"Ninguna (004)",1040,7,316,336,118,44,14,8,3,,194
,,,,,,,,,,,
"URBANA (006)",6448,37,1778,2115,838,297,151,39,15,,1178
"Catolica (007)",4839,26,1349,1608,629,207,114,28,9,,869
"Cristiana / Evangelica (008)",958,6,272,309,122,44,21,7,2,,175
"Otra (009)",354,3,88,114,50,30,12,4,2,,51
"Ninguna (010)",297,2,69,84,37,16,4,,2,,83
,,,,,,,,,,,
"RURAL (012)",15506,107,5062,5691,1707,514,201,118,23,,2083
"Catolica (013)",11352,80,3686,4200,1248,368,131,71,17,,1551
"Cristiana / Evangelica (014)",2511,18,814,931,275,79,39,31,2,,322
"Otra (015)",900,4,315,308,103,39,21,8,3,,99
"Ninguna (016)",743,5,247,252,81,28,10,8,1,,111
