"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PALLASCA (000)",37,35,2
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",14,14,
"Casa pensión (003)",4,4,
"Hospital, clinica (004)",2,2,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",10,8,2
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",6,6,
