"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LA MAR (000)",78126,32944,3876,1143,40213
"Quechua (001)",64815,28653,2404,697,33093
"Aymara (002)",64,23,6,3,34
"Asháninka (003)",127,32,2,5,93
"Otra lengua nativa (004)",58,23,,5,32
"Castellano (005)",12950,4173,1455,432,6899
"Idioma Extranjero (006)",1,,,,1
"Es Sordomudo/a (007)",111,40,9,1,61
"Hombres (009)",40267,15929,2060,739,21569
"Quechua (010)",33001,13752,1296,393,17579
"Aymara (011)",38,12,4,3,21
"Asháninka (012)",66,17,1,2,48
"Otra lengua nativa (013)",31,11,,3,17
"Castellano (014)",7067,2110,754,337,3873
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",63,27,5,1,30
"Mujeres (018)",37859,17015,1816,404,18644
"Quechua (019)",31814,14901,1108,304,15514
"Aymara (020)",26,11,2,,13
"Asháninka (021)",61,15,1,3,45
"Otra lengua nativa (022)",27,12,,2,15
"Castellano (023)",5883,2063,701,95,3026
"Es Sordomudo/a (025)",48,13,4,,31
,,,,,
"URBANA (027)",32127,9197,2430,586,19935
"Quechua (028)",22406,6490,1244,326,14361
"Aymara (029)",24,3,5,,16
"Asháninka (030)",11,3,1,,7
"Otra lengua nativa (031)",11,2,,2,8
"Castellano (032)",9636,2688,1175,257,5521
"Idioma Extranjero (033)",1,,,,1
"Es Sordomudo/a (034)",38,11,5,1,21
"Hombres (036)",16413,4361,1288,357,10422
"Quechua (037)",11220,3020,682,168,7360
"Aymara (038)",15,2,3,,10
"Asháninka (039)",4,1,,,3
"Otra lengua nativa (040)",6,1,,1,4
"Castellano (041)",5150,1330,600,187,3038
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",17,7,3,1,6
"Mujeres (045)",15714,4836,1142,229,9513
"Quechua (046)",11186,3470,562,158,7001
"Aymara (047)",9,1,2,,6
"Asháninka (048)",7,2,1,,4
"Otra lengua nativa (049)",5,1,,1,4
"Castellano (050)",4486,1358,575,70,2483
"Es Sordomudo/a (052)",21,4,2,,15
,,,,,
"RURAL (054)",45999,23747,1446,557,20278
"Quechua (055)",42409,22163,1160,371,18732
"Aymara (056)",40,20,1,3,18
"Asháninka (057)",116,29,1,5,86
"Otra lengua nativa (058)",47,21,,3,24
"Castellano (059)",3314,1485,280,175,1378
"Es Sordomudo/a (061)",73,29,4,,40
"Hombres (063)",23854,11568,772,382,11147
"Quechua (064)",21781,10732,614,225,10219
"Aymara (065)",23,10,1,3,11
"Asháninka (066)",62,16,1,2,45
"Otra lengua nativa (067)",25,10,,2,13
"Castellano (068)",1917,780,154,150,835
"Es Sordomudo/a (070)",46,20,2,,24
"Mujeres (072)",22145,12179,674,175,9131
"Quechua (073)",20628,11431,546,146,8513
"Aymara (074)",17,10,,,7
"Asháninka (075)",54,13,,3,41
"Otra lengua nativa (076)",22,11,,1,11
"Castellano (077)",1397,705,126,25,543
"Es Sordomudo/a (079)",27,9,2,,16
