"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CHINCHA (000)",147681,19785,29096,31598,24728,17725,24749
"Católica (001)",127863,16980,24951,27315,21423,15489,21705
"Cristiana/Evangélica (002)",14157,2092,2854,2979,2363,1590,2279
"Otra (003)",3607,466,747,769,596,457,572
"Ninguna (004)",2054,247,544,535,346,189,193
"Hombres (006)",72150,10098,14414,15466,11811,8418,11943
"Católica (007)",62775,8702,12385,13384,10300,7408,10596
"Cristiana/Evangélica (008)",6409,1012,1361,1360,1032,683,961
"Otra (009)",1698,240,343,371,277,196,271
"Ninguna (010)",1268,144,325,351,202,131,115
"Mujeres (012)",75531,9687,14682,16132,12917,9307,12806
"Católica (013)",65088,8278,12566,13931,11123,8081,11109
"Cristiana/Evangélica (014)",7748,1080,1493,1619,1331,907,1318
"Otra (015)",1909,226,404,398,319,261,301
"Ninguna (016)",786,103,219,184,144,58,78
,,,,,,,
"URBANA (018)",131301,17659,25800,28236,22157,15670,21779
"Católica (019)",113009,15034,21946,24264,19071,13625,19069
"Cristiana/Evangélica (020)",12891,1929,2632,2728,2188,1432,1982
"Otra (021)",3468,453,720,739,572,440,544
"Ninguna (022)",1933,243,502,505,326,173,184
"Hombres (024)",63911,8999,12781,13790,10527,7386,10428
"Católica (025)",55263,7699,10887,11861,9119,6465,9232
"Cristiana/Evangélica (026)",5819,927,1254,1240,956,611,831
"Otra (027)",1633,231,335,357,264,190,256
"Ninguna (028)",1196,142,305,332,188,120,109
"Mujeres (030)",67390,8660,13019,14446,11630,8284,11351
"Católica (031)",57746,7335,11059,12403,9952,7160,9837
"Cristiana/Evangélica (032)",7072,1002,1378,1488,1232,821,1151
"Otra (033)",1835,222,385,382,308,250,288
"Ninguna (034)",737,101,197,173,138,53,75
,,,,,,,
"RURAL (036)",16380,2126,3296,3362,2571,2055,2970
"Católica (037)",14854,1946,3005,3051,2352,1864,2636
"Cristiana/Evangélica (038)",1266,163,222,251,175,158,297
"Otra (039)",139,13,27,30,24,17,28
"Ninguna (040)",121,4,42,30,20,16,9
"Hombres (042)",8239,1099,1633,1676,1284,1032,1515
"Católica (043)",7512,1003,1498,1523,1181,943,1364
"Cristiana/Evangélica (044)",590,85,107,120,76,72,130
"Otra (045)",65,9,8,14,13,6,15
"Ninguna (046)",72,2,20,19,14,11,6
"Mujeres (048)",8141,1027,1663,1686,1287,1023,1455
"Católica (049)",7342,943,1507,1528,1171,921,1272
"Cristiana/Evangélica (050)",676,78,115,131,99,86,167
"Otra (051)",74,4,19,16,11,11,13
"Ninguna (052)",49,2,22,11,6,5,3
