"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia OYON (000)",5213,57,1877,1742,585,173,88,50,6,,635
"Catolica (001)",4042,46,1445,1342,470,131,70,37,4,,497
"Cristiana / Evangelica (002)",1014,11,378,355,94,35,18,11,2,,110
"Otra (003)",76,,26,16,12,5,,2,,,15
"Ninguna (004)",81,,28,29,9,2,,,,,13
,,,,,,,,,,,
"URBANA (006)",3605,42,1287,1235,413,118,59,33,5,,413
"Catolica (007)",2794,34,991,958,334,90,47,23,4,,313
"Cristiana / Evangelica (008)",708,8,265,249,62,23,12,9,1,,79
"Otra (009)",51,,14,13,9,3,,1,,,11
"Ninguna (010)",52,,17,15,8,2,,,,,10
,,,,,,,,,,,
"RURAL (012)",1608,15,590,507,172,55,29,17,1,,222
"Catolica (013)",1248,12,454,384,136,41,23,14,,,184
"Cristiana / Evangelica (014)",306,3,113,106,32,12,6,2,1,,31
"Otra (015)",25,,12,3,3,2,,1,,,4
"Ninguna (016)",29,,11,14,1,,,,,,3
