"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANTONIO RAYMONDI (000)",3281,2482,353,244,202
"Empleado (001)",595,144,146,163,142
"Obrero (002)",582,326,124,74,58
"Trabajador independiente (003)",1769,1703,66,,
"Empleador o patrono (004)",28,21,2,4,1
"Trabajador familiar no remunerado (005)",269,250,15,3,1
"Trabajador del hogar (006)",38,38,,,
"De 06 a 14 años (008)",15,14,1,,
"Empleado (009)",1,1,,,
"Obrero (010)",2,1,1,,
"Trabajador independiente (011)",2,2,,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",9,9,,,
"De 15 a 29 años (016)",973,735,97,65,76
"Empleado (017)",130,34,32,19,45
"Obrero (018)",244,134,39,42,29
"Trabajador independiente (019)",428,411,17,,
"Empleador o patrono (020)",8,4,,3,1
"Trabajador familiar no remunerado (021)",141,130,9,1,1
"Trabajador del hogar (022)",22,22,,,
"De 30 a 44 años (024)",1077,760,147,96,74
"Empleado (025)",283,79,69,77,58
"Obrero (026)",182,105,44,17,16
"Trabajador independiente (027)",546,516,30,,
"Empleador o patrono (028)",9,8,,1,
"Trabajador familiar no remunerado (029)",50,45,4,1,
"Trabajador del hogar (030)",7,7,,,
"De 45 a 64 años (032)",901,677,99,80,45
"Empleado (033)",175,27,45,67,36
"Obrero (034)",121,66,33,13,9
"Trabajador independiente (035)",538,520,18,,
"Empleador o patrono (036)",6,5,1,,
"Trabajador familiar no remunerado (037)",54,52,2,,
"Trabajador del hogar (038)",7,7,,,
"De 65 y más años (040)",315,296,9,3,7
"Empleado (041)",6,3,,,3
"Obrero (042)",33,20,7,2,4
"Trabajador independiente (043)",255,254,1,,
"Empleador o patrono (044)",4,3,1,,
"Trabajador familiar no remunerado (045)",15,14,,1,
"Trabajador del hogar (046)",2,2,,,
,,,,,
"URBANA (048)",1235,747,167,169,152
"Empleado (049)",418,87,96,122,113
"Obrero (050)",243,130,33,43,37
"Trabajador independiente (051)",485,454,31,,
"Empleador o patrono (052)",18,12,2,3,1
"Trabajador familiar no remunerado (053)",49,42,5,1,1
"Trabajador del hogar (054)",22,22,,,
"De 06 a 14 años (056)",5,5,,,
"Empleado (057)",1,1,,,
"Trabajador independiente (059)",1,1,,,
