"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia NAZCA (000)",24276,377,7473,9026,6327,1073
"Empleado (001)",6244,41,2021,2512,1540,130
"Obrero (002)",6533,70,2173,2407,1651,232
"Trabajador independiente (003)",8730,73,2149,3316,2612,580
"Empleador o patrono (004)",408,1,86,161,131,29
"Trabajador familiar no remunerado (005)",902,164,312,213,157,56
"Trabajador del hogar (006)",538,13,253,163,98,11
"Desocupado (008)",921,15,479,254,138,35
"Hombres (009)",16278,257,5029,5848,4338,806
"Empleado (010)",3501,30,1008,1366,995,102
"Obrero (011)",5712,62,1922,2072,1453,203
"Trabajador independiente (012)",5706,50,1516,2074,1639,427
"Empleador o patrono (013)",270,1,57,104,88,20
"Trabajador familiar no remunerado (014)",421,102,179,65,49,26
"Trabajador del hogar (015)",79,4,42,20,11,2
"Desocupado (017)",589,8,305,147,103,26
"Mujeres (018)",7998,120,2444,3178,1989,267
"Empleado (019)",2743,11,1013,1146,545,28
"Obrero (020)",821,8,251,335,198,29
"Trabajador independiente (021)",3024,23,633,1242,973,153
"Empleador o patrono (022)",138,,29,57,43,9
"Trabajador familiar no remunerado (023)",481,62,133,148,108,30
"Trabajador del hogar (024)",459,9,211,143,87,9
"Desocupado (026)",332,7,174,107,35,9
,,,,,,
"URBANA (027)",21383,339,6595,8089,5515,845
"Empleado (028)",6030,37,1938,2425,1503,127
"Obrero (029)",5159,59,1727,1948,1268,157
"Trabajador independiente (030)",7796,70,1957,3019,2287,463
"Empleador o patrono (031)",383,1,79,154,123,26
"Trabajador familiar no remunerado (032)",711,146,244,162,119,40
"Trabajador del hogar (033)",507,13,239,154,92,9
"Desocupado (035)",797,13,411,227,123,23
"Hombres (036)",14109,230,4358,5175,3722,624
"Empleado (037)",3372,26,963,1311,972,100
"Obrero (038)",4650,54,1563,1737,1156,140
"Trabajador independiente (039)",4959,47,1361,1841,1377,333
"Empleador o patrono (040)",248,1,51,98,81,17
"Trabajador familiar no remunerado (041)",312,90,126,41,38,17
"Trabajador del hogar (042)",74,4,39,20,10,1
"Desocupado (044)",494,8,255,127,88,16
"Mujeres (045)",7274,109,2237,2914,1793,221
"Empleado (046)",2658,11,975,1114,531,27
"Obrero (047)",509,5,164,211,112,17
"Trabajador independiente (048)",2837,23,596,1178,910,130
"Empleador o patrono (049)",135,,28,56,42,9
"Trabajador familiar no remunerado (050)",399,56,118,121,81,23
"Trabajador del hogar (051)",433,9,200,134,82,8
"Desocupado (053)",303,5,156,100,35,7
,,,,,,
"RURAL (054)",2893,38,878,937,812,228
"Empleado (055)",214,4,83,87,37,3
"Obrero (056)",1374,11,446,459,383,75
"Trabajador independiente (057)",934,3,192,297,325,117
"Empleador o patrono (058)",25,,7,7,8,3
"Trabajador familiar no remunerado (059)",191,18,68,51,38,16
"Trabajador del hogar (060)",31,,14,9,6,2
"Desocupado (062)",124,2,68,27,15,12
"Hombres (063)",2169,27,671,673,616,182
"Empleado (064)",129,4,45,55,23,2
"Obrero (065)",1062,8,359,335,297,63
"Trabajador independiente (066)",747,3,155,233,262,94
"Empleador o patrono (067)",22,,6,6,7,3
"Trabajador familiar no remunerado (068)",109,12,53,24,11,9
"Trabajador del hogar (069)",5,,3,,1,1
"Desocupado (071)",95,,50,20,15,10
"Mujeres (072)",724,11,207,264,196,46
"Empleado (073)",85,,38,32,14,1
"Obrero (074)",312,3,87,124,86,12
"Trabajador independiente (075)",187,,37,64,63,23
"Empleador o patrono (076)",3,,1,1,1,
"Trabajador familiar no remunerado (077)",82,6,15,27,27,7
"Trabajador del hogar (078)",26,,11,9,5,1
"Desocupado (080)",29,2,18,7,,2
