"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PUNO (000)",93293,24038,8313,42046,1096,16774,1026
"Conviviente (001)",22218,5761,2468,10285,265,3300,139
"Separado(a) (002)",3307,901,225,1787,41,299,54
"Casado(a) (003)",41001,10014,3061,19337,513,7941,135
"Viudo(a) (004)",4613,326,259,3244,49,702,33
"Divorciado(a) (005)",559,222,34,249,8,41,5
"Soltero(a) (006)",21595,6814,2266,7144,220,4491,660
"Hombres (008)",52176,14360,6731,24628,709,5683,65
"Conviviente (009)",13260,3655,2085,6301,187,1019,13
"Separado(a) (010)",842,278,104,387,14,59,
"Casado(a) (011)",24156,6749,2510,12621,340,1924,12
"Viudo(a) (012)",1645,104,144,1124,19,252,2
"Divorciado(a) (013)",239,94,22,103,4,16,
"Soltero(a) (014)",12034,3480,1866,4092,145,2413,38
"Mujeres (016)",41117,9678,1582,17418,387,11091,961
"Conviviente (017)",8958,2106,383,3984,78,2281,126
"Separado(a) (018)",2465,623,121,1400,27,240,54
"Casado(a) (019)",16845,3265,551,6716,173,6017,123
"Viudo(a) (020)",2968,222,115,2120,30,450,31
"Divorciado(a) (021)",320,128,12,146,4,25,5
"Soltero(a) (022)",9561,3334,400,3052,75,2078,622
,,,,,,,
"URBANA (024)",53602,22730,5062,20796,916,3191,907
"Conviviente (025)",14361,5487,1642,6168,237,705,122
"Separado(a) (026)",2356,863,170,1173,39,58,53
"Casado(a) (027)",20696,9412,1714,7821,412,1229,108
"Viudo(a) (028)",1578,312,99,994,38,107,28
"Divorciado(a) (029)",434,216,24,170,7,13,4
"Soltero(a) (030)",14177,6440,1413,4470,183,1079,592
"Hombres (032)",30048,13364,4286,10509,580,1257,52
"Conviviente (033)",8673,3442,1427,3396,166,229,13
"Separado(a) (034)",569,257,82,208,13,9,
"Casado(a) (035)",12358,6220,1486,3957,266,421,8
"Viudo(a) (036)",427,95,61,225,13,33,
"Divorciado(a) (037)",184,89,18,67,4,6,
"Soltero(a) (038)",7837,3261,1212,2656,118,559,31
"Mujeres (040)",23554,9366,776,10287,336,1934,855
"Conviviente (041)",5688,2045,215,2772,71,476,109
"Separado(a) (042)",1787,606,88,965,26,49,53
"Casado(a) (043)",8338,3192,228,3864,146,808,100
"Viudo(a) (044)",1151,217,38,769,25,74,28
"Divorciado(a) (045)",250,127,6,103,3,7,4
"Soltero(a) (046)",6340,3179,201,1814,65,520,561
,,,,,,,
"RURAL (048)",39691,1308,3251,21250,180,13583,119
"Conviviente (049)",7857,274,826,4117,28,2595,17
"Separado(a) (050)",951,38,55,614,2,241,1
"Casado(a) (051)",20305,602,1347,11516,101,6712,27
"Viudo(a) (052)",3035,14,160,2250,11,595,5
"Divorciado(a) (053)",125,6,10,79,1,28,1
"Soltero(a) (054)",7418,374,853,2674,37,3412,68
"Hombres (056)",22128,996,2445,14119,129,4426,13
"Conviviente (057)",4587,213,658,2905,21,790,
"Separado(a) (058)",273,21,22,179,1,50,
"Casado(a) (059)",11798,529,1024,8664,74,1503,4
"Viudo(a) (060)",1218,9,83,899,6,219,2
"Divorciado(a) (061)",55,5,4,36,,10,
"Soltero(a) (062)",4197,219,654,1436,27,1854,7
"Mujeres (064)",17563,312,806,7131,51,9157,106
"Conviviente (065)",3270,61,168,1212,7,1805,17
"Separado(a) (066)",678,17,33,435,1,191,1
"Casado(a) (067)",8507,73,323,2852,27,5209,23
"Viudo(a) (068)",1817,5,77,1351,5,376,3
"Divorciado(a) (069)",70,1,6,43,1,18,1
"Soltero(a) (070)",3221,155,199,1238,10,1558,61
