"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA",,,,,,,,,
"Viviendas particulares (001)",6801,581,2918,3212,57,7,2,1,23
"Ocupantes presentes (002)",26354,2105,11289,12606,235,23,12,4,80
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",6744,575,2902,3185,55,4,2,1,20
"Ocupantes presentes (005)",26147,2087,11218,12510,233,12,12,4,71
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",18,6,12,,,,,,
"Ocupantes presentes (011)",69,18,51,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",2,,2,,,,,,
"Ocupantes presentes (014)",16,,16,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",30,,,24,2,3,,,1
"Ocupantes presentes (017)",94,,,80,2,11,,,1
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,,,2,,,,,
"Ocupantes presentes (020)",7,,,7,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",3,,2,1,,,,,
"Ocupantes presentes (023)",13,,4,9,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",2,,,,,,,,2
"Ocupantes presentes (026)",8,,,,,,,,8
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2273,417,1516,311,21,1,,,7
"Ocupantes presentes (029)",8560,1473,5792,1197,67,3,,,28
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2248,411,1500,309,21,1,,,6
"Ocupantes presentes (032)",8460,1455,5721,1190,67,3,,,24
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",18,6,12,,,,,,
"Ocupantes presentes (038)",69,18,51,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",2,,2,,,,,,
"Ocupantes presentes (041)",16,,16,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,,,2,,,,,
"Ocupantes presentes (047)",7,,,7,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,,2,,,,,,
"Ocupantes presentes (050)",4,,4,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",1,,,,,,,,1
"Ocupantes presentes (053)",4,,,,,,,,4
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",4528,164,1402,2901,36,6,2,1,16
"Ocupantes presentes (056)",17794,632,5497,11409,168,20,12,4,52
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",4496,164,1402,2876,34,3,2,1,14
"Ocupantes presentes (059)",17687,632,5497,11320,166,9,12,4,47
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",30,,,24,2,3,,,1
"Ocupantes presentes (071)",94,,,80,2,11,,,1
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,1,,,,,
"Ocupantes presentes (077)",9,,,9,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",4,,,,,,,,4
