"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ISLAY (000)",14852,162,4540,4934,2141,760,333,93,15,,1874
"Catolica (001)",12982,136,3912,4289,1916,673,295,87,12,,1662
"Cristiana / Evangelica (002)",914,15,333,313,117,43,11,5,1,,76
"Otra (003)",712,7,207,252,86,36,21,1,2,,100
"Ninguna (004)",244,4,88,80,22,8,6,,,,36
,,,,,,,,,,,
"URBANA (006)",13686,143,4126,4538,2015,704,312,87,14,,1747
"Catolica (007)",11952,118,3555,3949,1795,622,275,81,12,,1545
"Cristiana / Evangelica (008)",845,14,301,287,114,41,11,5,1,,71
"Otra (009)",669,7,193,232,85,33,20,1,1,,97
"Ninguna (010)",220,4,77,70,21,8,6,,,,34
,,,,,,,,,,,
"RURAL (012)",1166,19,414,396,126,56,21,6,1,,127
"Catolica (013)",1030,18,357,340,121,51,20,6,,,117
"Cristiana / Evangelica (014)",69,1,32,26,3,2,,,,,5
"Otra (015)",43,,14,20,1,3,1,,1,,3
"Ninguna (016)",24,,11,10,1,,,,,,2
