"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia CAJATAMBO (000)",5032,4808,224
"Hombres (001)",2592,2531,61
"Mujeres (002)",2440,2277,163
"De 18 a 29 años (003)",1104,1056,48
"Hombres (004)",591,563,28
"Mujeres (005)",513,493,20
"De 30 a 44 años (006)",1550,1528,22
"Hombres (007)",798,790,8
"Mujeres (008)",752,738,14
"De 45 a 64 años (009)",1378,1338,40
"Hombres (010)",718,713,5
"Mujeres (011)",660,625,35
"De 65 y más años (012)",1000,886,114
"Hombres (013)",485,465,20
"Mujeres (014)",515,421,94
,,,
"URBANA (015)",3015,2910,105
"Hombres (016)",1470,1441,29
"Mujeres (017)",1545,1469,76
"De 18 a 29 años (018)",608,589,19
"Hombres (019)",316,305,11
"Mujeres (020)",292,284,8
"De 30 a 44 años (021)",938,930,8
"Hombres (022)",464,460,4
"Mujeres (023)",474,470,4
"De 45 a 64 años (024)",835,822,13
"Hombres (025)",403,401,2
"Mujeres (026)",432,421,11
"De 65 y más años (027)",634,569,65
"Hombres (028)",287,275,12
"Mujeres (029)",347,294,53
,,,
"RURAL (030)",2017,1898,119
"Hombres (031)",1122,1090,32
"Mujeres (032)",895,808,87
"De 18 a 29 años (033)",496,467,29
"Hombres (034)",275,258,17
"Mujeres (035)",221,209,12
"De 30 a 44 años (036)",612,598,14
"Hombres (037)",334,330,4
"Mujeres (038)",278,268,10
"De 45 a 64 años (039)",543,516,27
"Hombres (040)",315,312,3
"Mujeres (041)",228,204,24
"De 65 y más años (042)",366,317,49
"Hombres (043)",198,190,8
"Mujeres (044)",168,127,41
