"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PASCO (000)",70421,8673,18635,17895,25218
"Asiste actualmente (001)",49713,4057,17873,16750,11033
"No asiste (002)",20708,4616,762,1145,14185
"Hombres (004)",35728,4412,9569,9008,12739
"Asiste actualmente (005)",25195,2050,9186,8478,5481
"No asiste (006)",10533,2362,383,530,7258
"Mujeres (008)",34693,4261,9066,8887,12479
"Asiste actualmente (009)",24518,2007,8687,8272,5552
"No asiste (010)",10175,2254,379,615,6927
,,,,,
"URBANA (012)",53070,6539,13967,13512,19052
"Asiste actualmente (013)",38389,3234,13461,12786,8908
"No asiste (014)",14681,3305,506,726,10144
"Hombres (016)",26764,3357,7134,6796,9477
"Asiste actualmente (017)",19325,1632,6872,6464,4357
"No asiste (018)",7439,1725,262,332,5120
"Mujeres (020)",26306,3182,6833,6716,9575
"Asiste actualmente (021)",19064,1602,6589,6322,4551
"No asiste (022)",7242,1580,244,394,5024
,,,,,
"RURAL (024)",17351,2134,4668,4383,6166
"Asiste actualmente (025)",11324,823,4412,3964,2125
"No asiste (026)",6027,1311,256,419,4041
"Hombres (028)",8964,1055,2435,2212,3262
"Asiste actualmente (029)",5870,418,2314,2014,1124
"No asiste (030)",3094,637,121,198,2138
"Mujeres (032)",8387,1079,2233,2171,2904
"Asiste actualmente (033)",5454,405,2098,1950,1001
"No asiste (034)",2933,674,135,221,1903
