"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TRUJILLO (000)",472,469,3
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",237,236,1
"Casa pensión (003)",49,49,
"Hospital, clinica (004)",19,19,
"Cárcel, centro de readaptación social (005)",12,12,
"Aldea infantil, orfelinato, etc (007)",10,9,1
"Otro (008)",83,82,1
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",62,62,
