"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LORETO (000)",40581,13241,4634,1700,21135
"Conviviente (001)",18104,5104,1838,749,10455
"Separado(a) (002)",699,175,83,26,417
"Casado(a) (003)",6682,1431,1182,302,3813
"Viudo(a) (004)",860,203,51,10,596
"Divorciado(a) (005)",55,4,20,5,26
"Soltero(a) (006)",14181,6324,1460,608,5828
"Hombres (008)",22169,5981,2987,1198,12080
"Conviviente (009)",9238,1852,1235,468,5705
"Separado(a) (010)",272,45,47,13,168
"Casado(a) (011)",3601,590,772,231,2042
"Viudo(a) (012)",285,52,17,2,214
"Divorciado(a) (013)",37,2,15,4,16
"Soltero(a) (014)",8736,3440,901,480,3935
"Mujeres (016)",18412,7260,1647,502,9055
"Conviviente (017)",8866,3252,603,281,4750
"Separado(a) (018)",427,130,36,13,249
"Casado(a) (019)",3081,841,410,71,1771
"Viudo(a) (020)",575,151,34,8,382
"Divorciado(a) (021)",18,2,5,1,10
"Soltero(a) (022)",5445,2884,559,128,1893
,,,,,
"URBANA (024)",18513,4797,3595,810,9381
"Conviviente (025)",6993,1410,1322,317,3962
"Separado(a) (026)",390,81,69,17,224
"Casado(a) (027)",3696,599,964,215,1946
"Viudo(a) (028)",395,83,40,3,269
"Divorciado(a) (029)",33,,16,4,13
"Soltero(a) (030)",7006,2624,1184,254,2967
"Hombres (032)",10228,2118,2364,603,5193
"Conviviente (033)",3689,442,932,230,2099
"Separado(a) (034)",146,18,42,9,78
"Casado(a) (035)",2043,231,636,172,1027
"Viudo(a) (036)",118,19,15,1,83
"Divorciado(a) (037)",23,,12,3,8
"Soltero(a) (038)",4209,1408,727,188,1898
"Mujeres (040)",8285,2679,1231,207,4188
"Conviviente (041)",3304,968,390,87,1863
"Separado(a) (042)",244,63,27,8,146
"Casado(a) (043)",1653,368,328,43,919
"Viudo(a) (044)",277,64,25,2,186
"Divorciado(a) (045)",10,,4,1,5
"Soltero(a) (046)",2797,1216,457,66,1069
,,,,,
"RURAL (048)",22068,8444,1039,890,11754
"Conviviente (049)",11111,3694,516,432,6493
"Separado(a) (050)",309,94,14,9,193
"Casado(a) (051)",2986,832,218,87,1867
"Viudo(a) (052)",465,120,11,7,327
"Divorciado(a) (053)",22,4,4,1,13
"Soltero(a) (054)",7175,3700,276,354,2861
"Hombres (056)",11941,3863,623,595,6887
"Conviviente (057)",5549,1410,303,238,3606
"Separado(a) (058)",126,27,5,4,90
"Casado(a) (059)",1558,359,136,59,1015
"Viudo(a) (060)",167,33,2,1,131
"Divorciado(a) (061)",14,2,3,1,8
"Soltero(a) (062)",4527,2032,174,292,2037
"Mujeres (064)",10127,4581,416,295,4867
"Conviviente (065)",5562,2284,213,194,2887
"Separado(a) (066)",183,67,9,5,103
"Casado(a) (067)",1428,473,82,28,852
"Viudo(a) (068)",298,87,9,6,196
"Divorciado(a) (069)",8,2,1,,5
"Soltero(a) (070)",2648,1668,102,62,824
