"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia JAEN (000)",89540,12122,26757,23541,27120
"Asiste actualmente (001)",57391,5440,25258,19233,7460
"No asiste (002)",32149,6682,1499,4308,19660
"Hombres (004)",45867,6228,13739,12057,13843
"Asiste actualmente (005)",29445,2791,12952,9897,3805
"No asiste (006)",16422,3437,787,2160,10038
"Mujeres (008)",43673,5894,13018,11484,13277
"Asiste actualmente (009)",27946,2649,12306,9336,3655
"No asiste (010)",15727,3245,712,2148,9622
,,,,,
"URBANA (012)",43069,5249,11500,11588,14732
"Asiste actualmente (013)",29803,2801,10967,10309,5726
"No asiste (014)",13266,2448,533,1279,9006
"Hombres (016)",21394,2700,5829,5752,7113
"Asiste actualmente (017)",14885,1448,5551,5147,2739
"No asiste (018)",6509,1252,278,605,4374
"Mujeres (020)",21675,2549,5671,5836,7619
"Asiste actualmente (021)",14918,1353,5416,5162,2987
"No asiste (022)",6757,1196,255,674,4632
,,,,,
"RURAL (024)",46471,6873,15257,11953,12388
"Asiste actualmente (025)",27588,2639,14291,8924,1734
"No asiste (026)",18883,4234,966,3029,10654
"Hombres (028)",24473,3528,7910,6305,6730
"Asiste actualmente (029)",14560,1343,7401,4750,1066
"No asiste (030)",9913,2185,509,1555,5664
"Mujeres (032)",21998,3345,7347,5648,5658
"Asiste actualmente (033)",13028,1296,6890,4174,668
"No asiste (034)",8970,2049,457,1474,4990
