"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia EL COLLAO (000)",31072,29881,9118,3810,4154,3260,4764,2863,1241,671,1191,79258
"De 12 a 14 años (001)",2634,2620,2608,10,2,,,,,,14,14
"De 15 a 19 años (002)",3753,3666,3316,288,45,10,7,,,,87,436
"De 20 a 24 años (003)",3407,2982,1377,993,468,118,22,4,,,425,2402
"De 25 a 29 años (004)",3185,2869,477,872,931,433,145,9,2,,316,4712
"De 30 a 34 años (005)",2660,2527,219,495,800,561,382,63,5,2,133,5870
"De 35 a 39 años (006)",2623,2552,172,298,633,577,650,181,34,7,71,7637
"De 40 a 44 años (007)",2240,2210,144,209,368,411,652,323,84,19,30,8007
"De 45 a 49 años (008)",2045,2028,119,131,248,306,623,381,162,58,17,8731
"De 50 y más años (009)",8525,8427,686,514,659,844,2283,1902,954,585,98,41449
"PEA (010)",13090,12529,2319,1920,2132,1615,2294,1357,584,308,561,38147
"De 12 a 14 años (011)",153,152,150,2,,,,,,,1,2
"De 15 a 19 años (012)",843,813,679,112,16,4,2,,,,30,164
"De 20 a 24 años (013)",1583,1377,593,486,239,51,6,2,,,206,1155
"De 25 a 29 años (014)",1610,1454,262,444,478,200,65,4,1,,156,2303
"De 30 a 34 años (015)",1388,1317,125,261,406,292,201,29,2,1,71,3011
"De 35 a 39 años (016)",1395,1354,93,158,354,288,345,91,21,4,41,4035
"De 40 a 44 años (017)",1193,1175,62,124,205,239,338,153,46,8,18,4168
"De 45 a 49 años (018)",1088,1077,59,78,133,168,330,198,78,33,11,4592
"De 50 y más años (019)",3837,3810,296,255,301,373,1007,880,436,262,27,18717
"Ocupada (020)",12602,12090,2100,1843,2069,1581,2269,1342,582,304,512,37578
"De 12 a 14 años (021)",148,148,146,2,,,,,,,,2
