"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia JUNIN (000)",29950,452,9021,7458,5379,4827,2813
"Casa independiente (001)",28475,438,8587,7082,5122,4568,2678
"Vivienda en quinta (003)",97,,36,31,17,9,4
"Vivienda en casa de vecindad (004)",725,9,228,201,139,96,52
"Choza o cabaña (005)",642,4,169,138,100,153,78
"Local no destinado para hab.humana (007)",11,1,1,6,1,1,1
,,,,,,,
"URBANA (009)",21080,293,6350,5424,3884,3280,1849
"Casa independiente (010)",20249,283,6085,5187,3728,3174,1792
"Vivienda en quinta (012)",97,,36,31,17,9,4
"Vivienda en casa de vecindad (013)",725,9,228,201,139,96,52
"Local no destinado para hab.humana (016)",9,1,1,5,,1,1
,,,,,,,
"RURAL (018)",8870,159,2671,2034,1495,1547,964
"Casa independiente (019)",8226,155,2502,1895,1394,1394,886
"Choza o cabaña (023)",642,4,169,138,100,153,78
"Local no destinado para hab.humana (025)",2,,,1,1,,
