"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SAN MIGUEL (000)",21847,20882,5756,2980,2840,2130,2888,1935,2353,965
"Católica (001)",16778,16038,4692,2376,2190,1605,2075,1413,1687,740
"Cristiana/Evangélica (002)",4064,3889,811,474,499,412,671,449,573,175
"Otra (003)",467,446,88,60,67,54,72,47,58,21
"Ninguna (004)",538,509,165,70,84,59,70,26,35,29
,,,,,,,,,,
"URBANA (006)",3566,3428,899,606,599,408,425,232,259,138
"Católica (007)",2850,2742,755,504,483,320,322,173,185,108
"Cristiana/Evangélica (008)",604,581,117,87,92,76,88,56,65,23
"Otra (009)",60,57,11,8,14,8,10,2,4,3
"Ninguna (010)",52,48,16,7,10,4,5,1,5,4
,,,,,,,,,,
"RURAL (012)",18281,17454,4857,2374,2241,1722,2463,1703,2094,827
"Católica (013)",13928,13296,3937,1872,1707,1285,1753,1240,1502,632
"Cristiana/Evangélica (014)",3460,3308,694,387,407,336,583,393,508,152
"Otra (015)",407,389,77,52,53,46,62,45,54,18
"Ninguna (016)",486,461,149,63,74,55,65,25,30,25
