"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUANCAVELICA (000)",34730,177,632,1644,3448,6741,14026,8062
"De 12 a 14 años (001)",40,,,,,,4,36
"De 15 a 19 años (002)",981,,,,,,643,338
"De 20 a 24 años (003)",4373,,,,,9,2566,1798
"De 25 a 29 años (004)",4600,,,,,165,3027,1408
"De 30 a 34 años (005)",4286,,,,1,614,2787,884
"De 35 a 39 años (006)",3895,,,,23,1011,2316,545
"De 40 a 44 años (007)",3271,,,,109,1162,1554,446
"De 45 a 49 años (008)",2892,,,13,271,1368,922,318
"De 50 y más años (009)",10392,177,632,1631,3044,2412,207,2289
"PEA (010)",14830,17,108,433,1383,3224,6260,3405
"De 12 a 14 años (011)",5,,,,,,1,4
"De 15 a 19 años (012)",346,,,,,,235,111
"De 20 a 24 años (013)",1697,,,,,6,977,714
"De 25 a 29 años (014)",2142,,,,,88,1347,707
"De 30 a 34 años (015)",2175,,,,1,343,1334,497
"De 35 a 39 años (016)",1985,,,,14,538,1140,293
"De 40 a 44 años (017)",1615,,,,62,596,725,232
"De 45 a 49 años (018)",1417,,,7,155,665,412,178
"De 50 y más años (019)",3448,17,108,426,1151,988,89,669
"Ocupada (020)",14266,17,108,425,1370,3151,6038,3157
"De 12 a 14 años (021)",5,,,,,,1,4
"De 15 a 19 años (022)",317,,,,,,214,103
"De 20 a 24 años (023)",1541,,,,,6,922,613
"De 25 a 29 años (024)",1987,,,,,81,1283,623
"De 30 a 34 años (025)",2078,,,,1,320,1287,470
"De 35 a 39 años (026)",1949,,,,14,527,1123,285
"De 40 a 44 años (027)",1578,,,,61,579,714,224
"De 45 a 49 años (028)",1396,,,7,153,656,407,173
"De 50 y más años (029)",3415,17,108,418,1141,982,87,662
"Desocupada (030)",564,,,8,13,73,222,248
"De 15 a 19 años (032)",29,,,,,,21,8
"De 20 a 24 años (033)",156,,,,,,55,101
"De 25 a 29 años (034)",155,,,,,7,64,84
"De 30 a 34 años (035)",97,,,,,23,47,27
"De 35 a 39 años (036)",36,,,,,11,17,8
"De 40 a 44 años (037)",37,,,,1,17,11,8
"De 45 a 49 años (038)",21,,,,2,9,5,5
"De 50 y más años (039)",33,,,8,10,6,2,7
"No PEA (040)",19900,160,524,1211,2065,3517,7766,4657
"De 12 a 14 años (041)",35,,,,,,3,32
"De 15 a 19 años (042)",635,,,,,,408,227
"De 20 a 24 años (043)",2676,,,,,3,1589,1084
"De 25 a 29 años (044)",2458,,,,,77,1680,701
"De 30 a 34 años (045)",2111,,,,,271,1453,387
"De 35 a 39 años (046)",1910,,,,9,473,1176,252
