"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TOCACHE (000)",17513,10257,7256
"Red pública dentro de la vivienda (001)",3123,2764,359
"Red pública fuera de la vivienda (002)",754,591,163
"Pilón de uso público (003)",146,48,98
"Camión - cisterna u otro similar (004)",16,15,1
"Pozo (005)",4452,2795,1657
"Río, acequia, manatial o similar (006)",8587,3864,4723
"Vecino (007)",355,154,201
"Otro (008)",80,26,54
,,,
"URBANA (010)",8446,7140,1306
"Red pública dentro de la vivienda (011)",2820,2623,197
"Red pública fuera de la vivienda (012)",551,503,48
"Pilón de uso público (013)",41,21,20
"Camión - cisterna u otro similar (014)",6,6,
"Pozo (015)",2146,1661,485
"Río, acequia, manatial o similar (016)",2676,2236,440
"Vecino (017)",175,75,100
"Otro (018)",31,15,16
,,,
"RURAL (020)",9067,3117,5950
"Red pública dentro de la vivienda (021)",303,141,162
"Red pública fuera de la vivienda (022)",203,88,115
"Pilón de uso público (023)",105,27,78
"Camión - cisterna u otro similar (024)",10,9,1
"Pozo (025)",2306,1134,1172
"Río, acequia, manatial o similar (026)",5911,1628,4283
"Vecino (027)",180,79,101
"Otro (028)",49,11,38
