"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MOHO (000)",11279,275,2461,3066,3426,2051
"Empleado (001)",598,2,138,269,176,13
"Obrero (002)",860,9,211,224,298,118
"Trabajador independiente (003)",5910,22,968,1657,1951,1312
"Empleador o patrono (004)",58,,8,10,25,15
"Trabajador familiar no remunerado (005)",3806,241,1106,895,972,592
"Trabajador del hogar (006)",47,1,30,11,4,1
"Hombres (008)",6234,131,1297,1712,1929,1165
"Empleado (009)",448,,84,205,146,13
"Obrero (010)",575,6,146,148,200,75
"Trabajador independiente (011)",3778,13,562,1071,1275,857
"Empleador o patrono (012)",34,,6,5,14,9
"Trabajador familiar no remunerado (013)",1392,111,494,283,293,211
"Trabajador del hogar (014)",7,1,5,,1,
"Mujeres (016)",5045,144,1164,1354,1497,886
"Empleado (017)",150,2,54,64,30,
"Obrero (018)",285,3,65,76,98,43
"Trabajador independiente (019)",2132,9,406,586,676,455
"Empleador o patrono (020)",24,,2,5,11,6
"Trabajador familiar no remunerado (021)",2414,130,612,612,679,381
"Trabajador del hogar (022)",40,,25,11,3,1
,,,,,,
"URBANA (024)",2899,95,728,951,816,309
"Empleado (025)",385,2,79,187,109,8
"Obrero (026)",136,1,38,44,45,8
"Trabajador independiente (027)",1649,15,362,540,505,227
"Empleador o patrono (028)",14,,3,3,6,2
"Trabajador familiar no remunerado (029)",695,76,238,168,149,64
"Trabajador del hogar (030)",20,1,8,9,2,
"Hombres (032)",1674,52,387,539,506,190
"Empleado (033)",276,,41,142,85,8
"Obrero (034)",120,1,32,41,40,6
"Trabajador independiente (035)",999,9,207,306,329,148
"Empleador o patrono (036)",7,,2,2,2,1
"Trabajador familiar no remunerado (037)",267,41,102,48,49,27
"Trabajador del hogar (038)",5,1,3,,1,
"Mujeres (040)",1225,43,341,412,310,119
"Empleado (041)",109,2,38,45,24,
"Obrero (042)",16,,6,3,5,2
"Trabajador independiente (043)",650,6,155,234,176,79
"Empleador o patrono (044)",7,,1,1,4,1
"Trabajador familiar no remunerado (045)",428,35,136,120,100,37
"Trabajador del hogar (046)",15,,5,9,1,
,,,,,,
"RURAL (048)",8380,180,1733,2115,2610,1742
"Empleado (049)",213,,59,82,67,5
"Obrero (050)",724,8,173,180,253,110
"Trabajador independiente (051)",4261,7,606,1117,1446,1085
"Empleador o patrono (052)",44,,5,7,19,13
"Trabajador familiar no remunerado (053)",3111,165,868,727,823,528
"Trabajador del hogar (054)",27,,22,2,2,1
"Hombres (056)",4560,79,910,1173,1423,975
"Empleado (057)",172,,43,63,61,5
"Obrero (058)",455,5,114,107,160,69
"Trabajador independiente (059)",2779,4,355,765,946,709
"Empleador o patrono (060)",27,,4,3,12,8
"Trabajador familiar no remunerado (061)",1125,70,392,235,244,184
"Trabajador del hogar (062)",2,,2,,,
"Mujeres (064)",3820,101,823,942,1187,767
"Empleado (065)",41,,16,19,6,
"Obrero (066)",269,3,59,73,93,41
"Trabajador independiente (067)",1482,3,251,352,500,376
"Empleador o patrono (068)",17,,1,4,7,5
"Trabajador familiar no remunerado (069)",1986,95,476,492,579,344
"Trabajador del hogar (070)",25,,20,2,2,1
