"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OCROS (000)",3528,2967,276,138,147
"Agric., ganadería, caza y silvicultura (001)",2128,1990,119,18,1
"Pesca (002)",2,,1,,1
"Explotación de minas y canteras (003)",1,,1,,
"Industrias manufactureras (004)",112,90,6,11,5
"Suministro de electricidad, gas y agua (005)",3,,1,2,
"Construcción (006)",216,122,52,40,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",375,363,9,1,2
"Venta, mant.y rep. veh.autom y motoc. (008)",10,9,1,,
"Comercio al por mayor (009)",14,12,,,2
"Comercio al por menor (010)",351,342,8,1,
"Hoteles y restaurantes (011)",94,89,4,1,
"Trans., almac. y comunicaciones (012)",90,70,13,6,1
"Activid.inmobil., empres. y alquileres (014)",54,26,8,12,8
"Admin.pub. y defensa; p. segur soc.afil (015)",98,,,,98
"Enseñanza (016)",139,46,40,40,13
"Servicios sociales y de salud (017)",35,21,,,14
"Otras activ. serv.comun.soc y personales (018)",65,43,16,4,2
"Hogares privados con servicio doméstico (019)",24,24,,,
"Actividad economica no especificada (021)",92,83,6,3,
"Hombres (022)",2606,2201,206,96,103
"Agric., ganadería, caza y silvicultura (023)",1770,1675,80,15,
"Pesca (024)",2,,1,,1
"Explotación de minas y canteras (025)",1,,1,,
"Industrias manufactureras (026)",85,67,6,10,2
"Suministro de electricidad, gas y agua (027)",2,,,2,
"Construcción (028)",212,120,51,39,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",157,150,6,,1
"Venta, mant.y rep. veh.autom y motoc. (030)",9,8,1,,
"Comercio al por mayor (031)",4,3,,,1
"Comercio al por menor (032)",144,139,5,,
"Hoteles y restaurantes (033)",13,12,1,,
"Trans., almac. y comunicaciones (034)",88,68,13,6,1
"Activid.inmobil., empres. y alquileres (036)",32,13,5,7,7
"Admin.pub. y defensa; p. segur soc.afil (037)",80,,,,80
"Enseñanza (038)",58,16,23,14,5
"Servicios sociales y de salud (039)",19,16,,,3
"Otras activ. serv.comun.soc y personales (040)",46,28,15,2,1
"Hogares privados con servicio doméstico (041)",5,5,,,
"Actividad economica no especificada (043)",36,31,4,1,
"Mujeres (044)",922,766,70,42,44
"Agric., ganadería, caza y silvicultura (045)",358,315,39,3,1
"Industrias manufactureras (048)",27,23,,1,3
