"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia VILCAS HUAMAN (000)",6181,171,1665,2120,1466,759
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",26,,2,14,10,
"Profes., científicos e intelectuales (002)",520,,96,276,146,2
"Técnicos de nivel medio y trab.asimilados (003)",67,,23,36,8,
"Jefes y empleados de oficina (004)",105,,20,46,35,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",318,3,106,120,65,24
"Agricult.trabaj. calif. agrop. y pesqueros (006)",2242,7,439,731,606,459
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",149,,53,64,26,6
"Obreros construc., conf., papel, fab., instr. (008)",199,1,47,101,43,7
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",1937,151,656,547,388,195
"Otra (010)",9,,3,6,,
"Ocupación no especificada (011)",365,3,111,106,98,47
"Desocupado (012)",244,6,109,73,41,15
"Hombres (013)",4703,109,1252,1621,1122,599
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",21,,2,11,8,
"Profes., científicos e intelectuales (015)",337,,41,171,123,2
"Técnicos de nivel medio y trab.asimilados (016)",52,,16,29,7,
"Jefes y empleados de oficina (017)",79,,15,29,31,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",98,1,38,38,13,8
"Agricult.trabaj. calif. agrop. y pesqueros (019)",2034,5,410,680,531,408
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",134,,47,57,24,6
"Obreros construc., conf., papel, fab., instr. (021)",192,1,44,98,42,7
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1376,97,504,388,255,132
"Otra (023)",9,,3,6,,
"Ocupación no especificada (024)",182,2,54,57,51,18
"Desocupado (025)",189,3,78,57,37,14
"Mujeres (026)",1478,62,413,499,344,160
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",5,,,3,2,
"Profes., científicos e intelectuales (028)",183,,55,105,23,
"Técnicos de nivel medio y trab.asimilados (029)",15,,7,7,1,
"Jefes y empleados de oficina (030)",26,,5,17,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",220,2,68,82,52,16
"Agricult.trabaj. calif. agrop. y pesqueros (032)",208,2,29,51,75,51
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",15,,6,7,2,
"Obreros construc., conf., papel, fab., instr. (034)",7,,3,3,1,
