"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia BELLAVISTA (000)",48716,1164,16849,12860,9885,5936,2022
"Casa independiente (001)",41027,944,14004,10718,8437,5163,1761
"Departamento en edificio (002)",33,1,5,14,11,1,1
"Vivienda en quinta (003)",442,9,117,154,112,41,9
"Vivienda en casa de vecindad (004)",94,,29,20,23,16,6
"Choza o cabaña (005)",6941,209,2627,1906,1263,693,243
"Vivienda improvisada (006)",109,,49,28,17,14,1
"Local no destinado para hab.humana (007)",57,1,18,11,19,7,1
"Otro tipo (008)",13,,,9,3,1,
,,,,,,,
"URBANA (009)",26604,547,8627,6848,5747,3563,1272
"Casa independiente (010)",25883,536,8418,6615,5573,3486,1255
"Departamento en edificio (011)",33,1,5,14,11,1,1
"Vivienda en quinta (012)",442,9,117,154,112,41,9
"Vivienda en casa de vecindad (013)",94,,29,20,23,16,6
"Vivienda improvisada (015)",109,,49,28,17,14,1
"Local no destinado para hab.humana (016)",31,1,9,8,8,5,
"Otro tipo (017)",12,,,9,3,,
,,,,,,,
"RURAL (018)",22112,617,8222,6012,4138,2373,750
"Casa independiente (019)",15144,408,5586,4103,2864,1677,506
"Choza o cabaña (023)",6941,209,2627,1906,1263,693,243
"Local no destinado para hab.humana (025)",26,,9,3,11,2,1
"Otro tipo (026)",1,,,,,1,
